year,subregion,fires,affected_wood_ha,affected_scrub_ha,affected_total_ha,affected_size
2006-01-01,Montsià,2.0,0.0,3.1,3.1,0 <10 ha
2006-01-01,Noguera,17.0,17.0,14.9,31.9,10 > 100 ha
2006-01-01,Osona,19.0,6.3,3.3,9.6,0 <10 ha
2006-01-01,Pallars Jussà,8.0,0.3,6.5,6.9,0 <10 ha
2006-01-01,Pallars Sobirà,11.0,0.8,0.6,1.4,0 <10 ha
2006-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,
2006-01-01,Pla de l'Estany,14.0,5.6,0.5,6.1,0 <10 ha
2006-01-01,Priorat,12.0,2.7,3.3,6.0,0 <10 ha
2006-01-01,Ribera d'Ebre,10.0,4.0,0.5,4.5,0 <10 ha
2006-01-01,Ripollès,6.0,0.1,0.0,0.1,0 <10 ha
2006-01-01,Segarra,4.0,0.6,0.4,1.0,0 <10 ha
2006-01-01,Segrià,31.0,9.0,13.1,22.1,10 > 100 ha
2006-01-01,Selva,19.0,1.2,0.6,1.8,0 <10 ha
2006-01-01,Solsonès,6.0,27.8,0.0,27.8,10 > 100 ha
2006-01-01,Tarragonès,8.0,0.3,30.9,31.2,10 > 100 ha
2006-01-01,Terra Alta,8.0,1.0,0.1,1.1,0 <10 ha
2006-01-01,Urgell,2.0,0.0,0.1,0.1,0 <10 ha
2006-01-01,Aran,3.0,2.1,6.0,8.1,0 <10 ha
2006-01-01,Vallès Occidental,47.0,5.5,2.0,7.5,0 <10 ha
2006-01-01,Vallès Oriental,22.0,14.2,1.1,15.3,10 > 100 ha
2007-01-01,Alt Camp,13.0,10.0,6.3,16.4,10 > 100 ha
2007-01-01,Alt Empordà,42.0,10.0,9.4,19.5,10 > 100 ha
2007-01-01,Alt Penedès,23.0,7.8,4.4,12.1,10 > 100 ha
2007-01-01,Alt Urgell,5.0,0.5,0.1,0.6,0 <10 ha
2007-01-01,Alta Ribagorça,1.0,0.1,0.0,0.1,0 <10 ha
2007-01-01,Anoia,16.0,1.3,2.9,4.3,0 <10 ha
2007-01-01,Bages,52.0,251.8,23.3,275.1,100 > 500 ha
2007-01-01,Baix Camp,23.0,39.5,331.9,371.4,100 > 500 ha
2007-01-01,Baix Ebre,14.0,7.5,15.5,22.9,10 > 100 ha
2007-01-01,Baix Empordà,33.0,6.7,1.6,8.2,0 <10 ha
2007-01-01,Baix Llobregat,20.0,0.6,9.8,10.4,10 > 100 ha
2007-01-01,Baix Penedès,5.0,4.3,2.7,7.0,0 <10 ha
2007-01-01,Barcelonès,14.0,0.6,11.3,11.9,10 > 100 ha
2007-01-01,Berguedà,13.0,1.1,23.7,24.8,10 > 100 ha
2007-01-01,Cerdanya,3.0,1.2,0.6,1.8,0 <10 ha
2007-01-01,Conca de Barberà,11.0,2.9,1.2,4.1,0 <10 ha
2007-01-01,Garraf,2.0,0.0,0.2,0.2,0 <10 ha
2007-01-01,Garrigues,16.0,2.9,2.5,5.4,0 <10 ha
2007-01-01,Garrotxa,14.0,0.1,1.5,1.5,0 <10 ha
2007-01-01,Gironès,41.0,2.5,2.0,4.5,0 <10 ha
2007-01-01,Maresme,11.0,8.0,1.8,9.7,0 <10 ha
2007-01-01,Montsià,9.0,0.0,37.8,37.8,10 > 100 ha
2007-01-01,Noguera,7.0,10.0,1.0,11.0,10 > 100 ha
2007-01-01,Osona,10.0,1.2,3.5,4.7,0 <10 ha
2007-01-01,Pallars Jussà,8.0,1.4,6.4,7.8,0 <10 ha
2007-01-01,Pallars Sobirà,4.0,0.0,2.3,2.3,0 <10 ha
2007-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,
2007-01-01,Pla de l'Estany,13.0,1.0,0.4,1.4,0 <10 ha
2007-01-01,Priorat,8.0,334.3,68.0,402.3,100 > 500 ha
2007-01-01,Ribera d'Ebre,12.0,38.3,83.1,121.4,100 > 500 ha
2007-01-01,Ripollès,2.0,28.5,52.3,80.8,10 > 100 ha
2007-01-01,Segarra,8.0,7.5,10.3,17.8,10 > 100 ha
2007-01-01,Segrià,25.0,2.7,17.2,19.9,10 > 100 ha
2007-01-01,Selva,17.0,3.5,0.2,3.8,0 <10 ha
2007-01-01,Solsonès,5.0,36.1,4.0,40.1,10 > 100 ha
2007-01-01,Tarragonès,10.0,4.3,0.8,5.1,0 <10 ha
2007-01-01,Terra Alta,14.0,11.1,11.9,23.1,10 > 100 ha
2007-01-01,Urgell,11.0,0.5,10.0,10.5,10 > 100 ha
2007-01-01,Aran,0.0,0.0,0.0,0.0,
2007-01-01,Vallès Occidental,27.0,5.7,2.2,8.0,0 <10 ha
2007-01-01,Vallès Oriental,16.0,1.7,0.5,2.2,0 <10 ha
2008-01-01,Alt Camp,2.0,0.2,0.6,0.9,0 <10 ha
2008-01-01,Alt Empordà,39.0,2.2,11.5,13.7,10 > 100 ha
2008-01-01,Alt Penedès,14.0,3.0,1.5,4.5,0 <10 ha
2008-01-01,Alt Urgell,1.0,0.0,0.0,0.0,
2008-01-01,Alta Ribagorça,3.0,0.0,2.0,2.0,0 <10 ha
2008-01-01,Anoia,21.0,1.7,2.3,4.1,0 <10 ha
2008-01-01,Bages,18.0,1.3,0.4,1.8,0 <10 ha
2008-01-01,Baix Camp,8.0,0.2,1.0,1.2,0 <10 ha
2008-01-01,Baix Ebre,11.0,3.5,3.2,6.7,0 <10 ha
2008-01-01,Baix Empordà,12.0,2.5,0.0,2.5,0 <10 ha
2008-01-01,Baix Llobregat,30.0,1.4,5.8,7.2,0 <10 ha
2008-01-01,Baix Penedès,6.0,0.2,1.3,1.5,0 <10 ha
2008-01-01,Barcelonès,2.0,0.0,0.1,0.1,0 <10 ha
2008-01-01,Berguedà,10.0,3.2,0.3,3.4,0 <10 ha
2008-01-01,Cerdanya,5.0,0.0,0.6,0.6,0 <10 ha
2008-01-01,Conca de Barberà,9.0,4.4,14.2,18.6,10 > 100 ha
2008-01-01,Garraf,10.0,0.2,0.1,0.3,0 <10 ha
2008-01-01,Garrigues,5.0,0.8,0.2,1.0,0 <10 ha
2008-01-01,Garrotxa,1.0,0.0,0.0,0.0,
2008-01-01,Gironès,22.0,1.4,5.0,6.4,0 <10 ha
2008-01-01,Maresme,16.0,0.2,6.8,7.0,0 <10 ha
2008-01-01,Montsià,2.0,0.0,5.8,5.8,0 <10 ha
2008-01-01,Noguera,10.0,16.9,1.2,18.0,10 > 100 ha
2008-01-01,Osona,7.0,0.9,0.1,1.0,0 <10 ha
2008-01-01,Pallars Jussà,5.0,7.9,9.7,17.6,10 > 100 ha
2008-01-01,Pallars Sobirà,4.0,0.1,2.0,2.0,0 <10 ha
2008-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,
2008-01-01,Pla de l'Estany,6.0,0.5,0.0,0.6,0 <10 ha
2008-01-01,Priorat,6.0,0.1,1.3,1.4,0 <10 ha
2008-01-01,Ribera d'Ebre,6.0,0.2,0.1,0.2,0 <10 ha
2008-01-01,Ripollès,1.0,0.0,0.2,0.2,0 <10 ha
2008-01-01,Segarra,19.0,0.1,8.5,8.6,0 <10 ha
2008-01-01,Segrià,27.0,87.1,21.0,108.0,100 > 500 ha
2008-01-01,Selva,10.0,1.3,0.5,1.8,0 <10 ha
2008-01-01,Solsonès,4.0,0.1,0.7,0.8,0 <10 ha
2008-01-01,Tarragonès,3.0,0.7,1.1,1.8,0 <10 ha
2008-01-01,Terra Alta,8.0,5.6,2.6,8.2,0 <10 ha
2008-01-01,Urgell,10.0,0.0,12.6,12.7,10 > 100 ha
2008-01-01,Aran,4.0,38.4,259.5,297.9,100 > 500 ha
2008-01-01,Vallès Occidental,26.0,0.2,2.7,2.8,0 <10 ha
2008-01-01,Vallès Oriental,18.0,2.9,0.8,3.7,0 <10 ha
2009-01-01,Alt Camp,28.0,38.6,56.4,95.0,10 > 100 ha
2009-01-01,Alt Empordà,49.0,3.3,16.7,20.0,10 > 100 ha
2009-01-01,Alt Penedès,19.0,0.2,2.2,2.5,0 <10 ha
2009-01-01,Alt Urgell,5.0,0.0,0.6,0.6,0 <10 ha
2009-01-01,Alta Ribagorça,4.0,0.0,6.9,6.9,0 <10 ha
2009-01-01,Anoia,44.0,21.8,8.1,29.9,10 > 100 ha
2009-01-01,Bages,44.0,189.6,11.7,201.3,100 > 500 ha
2009-01-01,Baix Camp,7.0,0.1,0.7,0.9,0 <10 ha
2009-01-01,Baix Ebre,24.0,3.2,8.1,11.3,10 > 100 ha
2009-01-01,Baix Empordà,44.0,18.8,12.9,31.7,10 > 100 ha
2009-01-01,Baix Llobregat,27.0,1.0,2.2,3.2,0 <10 ha
2009-01-01,Baix Penedès,17.0,71.0,77.6,148.6,100 > 500 ha
2009-01-01,Barcelonès,8.0,0.1,3.5,3.5,0 <10 ha
2009-01-01,Berguedà,7.0,0.0,0.0,0.1,0 <10 ha
2009-01-01,Cerdanya,4.0,0.0,0.5,0.5,0 <10 ha
2009-01-01,Conca de Barberà,13.0,15.6,2.8,18.4,10 > 100 ha
2009-01-01,Garraf,7.0,3.2,1.1,4.3,0 <10 ha
2009-01-01,Garrigues,12.0,0.5,1.7,2.2,0 <10 ha
2009-01-01,Garrotxa,3.0,0.7,0.0,0.7,0 <10 ha
2009-01-01,Gironès,33.0,2.1,1.2,3.3,0 <10 ha
2009-01-01,Maresme,37.0,0.6,4.5,5.1,0 <10 ha
2009-01-01,Montsià,6.0,1.0,6.2,7.2,0 <10 ha
2009-01-01,Noguera,23.0,381.7,539.8,921.5,500 > 1000 ha
2009-01-01,Osona,11.0,0.3,0.9,1.1,0 <10 ha
2009-01-01,Pallars Jussà,6.0,2.0,1.6,3.6,0 <10 ha
2009-01-01,Pallars Sobirà,5.0,1.5,84.4,85.9,10 > 100 ha
2009-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,
2009-01-01,Pla de l'Estany,11.0,0.1,1.2,1.2,0 <10 ha
2009-01-01,Priorat,21.0,0.2,3.5,3.8,0 <10 ha
2009-01-01,Ribera d'Ebre,8.0,0.9,0.2,1.1,0 <10 ha
2009-01-01,Ripollès,3.0,0.0,1.7,1.7,0 <10 ha
2009-01-01,Segarra,28.0,243.5,440.9,684.4,500 > 1000 ha
2009-01-01,Segrià,30.0,23.7,14.2,37.9,10 > 100 ha
2009-01-01,Selva,22.0,2.9,1.3,4.1,0 <10 ha
2009-01-01,Solsonès,10.0,0.4,3.4,3.9,0 <10 ha
2009-01-01,Tarragonès,11.0,4.0,9.8,13.8,10 > 100 ha
2009-01-01,Terra Alta,8.0,564.5,286.0,850.5,500 > 1000 ha
2009-01-01,Urgell,12.0,54.1,81.0,135.1,100 > 500 ha
2009-01-01,Aran,2.0,25.4,66.6,92.0,10 > 100 ha
2009-01-01,Vallès Occidental,46.0,1.4,4.3,5.7,0 <10 ha
2009-01-01,Vallès Oriental,47.0,6.3,0.9,7.2,0 <10 ha
2010-01-01,Alt Camp,8.0,0.8,0.5,1.4,0 <10 ha
2010-01-01,Alt Empordà,33.0,1.1,2.9,4.0,0 <10 ha
2010-01-01,Alt Penedès,5.0,0.0,0.6,0.6,0 <10 ha
2010-01-01,Alt Urgell,4.0,0.9,0.5,1.4,0 <10 ha
2010-01-01,Alta Ribagorça,0.0,0.0,0.0,0.0,
2010-01-01,Anoia,17.0,0.1,0.4,0.4,0 <10 ha
2010-01-01,Bages,29.0,3.5,22.7,26.2,10 > 100 ha
2010-01-01,Baix Camp,7.0,0.3,0.9,1.2,0 <10 ha
2010-01-01,Baix Ebre,16.0,23.7,13.0,36.7,10 > 100 ha
2010-01-01,Baix Empordà,34.0,67.6,19.1,86.6,10 > 100 ha
2010-01-01,Baix Llobregat,31.0,9.5,44.1,53.5,10 > 100 ha
2010-01-01,Baix Penedès,3.0,0.1,0.5,0.5,0 <10 ha
2010-01-01,Barcelonès,5.0,0.0,0.4,0.4,0 <10 ha
2010-01-01,Berguedà,5.0,0.0,0.0,0.1,0 <10 ha
2010-01-01,Cerdanya,2.0,0.0,2.4,2.4,0 <10 ha
2010-01-01,Conca de Barberà,8.0,0.5,8.1,8.5,0 <10 ha
2010-01-01,Garraf,8.0,35.7,24.3,60.1,10 > 100 ha
2010-01-01,Garrigues,15.0,0.7,3.9,4.6,0 <10 ha
2010-01-01,Garrotxa,2.0,0.4,0.0,0.4,0 <10 ha
2010-01-01,Gironès,18.0,1.4,0.6,2.0,0 <10 ha
2010-01-01,Maresme,19.0,0.9,1.0,1.9,0 <10 ha
2010-01-01,Montsià,10.0,0.4,5.1,5.5,0 <10 ha
2010-01-01,Noguera,10.0,22.1,16.5,38.5,10 > 100 ha
2010-01-01,Osona,1.0,1.4,0.0,1.4,0 <10 ha
2010-01-01,Pallars Jussà,5.0,0.0,4.7,4.8,0 <10 ha
2010-01-01,Pallars Sobirà,5.0,0.0,0.8,0.8,0 <10 ha
2010-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,
2010-01-01,Pla de l'Estany,5.0,0.0,0.1,0.1,0 <10 ha
2010-01-01,Priorat,12.0,0.4,3.9,4.3,0 <10 ha
2010-01-01,Ribera d'Ebre,8.0,1.1,0.3,1.4,0 <10 ha
2010-01-01,Ripollès,3.0,0.2,0.1,0.3,0 <10 ha
2010-01-01,Segarra,3.0,0.0,2.1,2.1,0 <10 ha
2010-01-01,Segrià,27.0,10.6,11.2,21.8,10 > 100 ha
2010-01-01,Selva,12.0,0.2,0.3,0.5,0 <10 ha
2010-01-01,Solsonès,5.0,0.0,1.6,1.7,0 <10 ha
2010-01-01,Tarragonès,11.0,60.4,50.9,111.2,100 > 500 ha
2010-01-01,Terra Alta,12.0,2.1,3.6,5.7,0 <10 ha
2010-01-01,Urgell,17.0,1.0,8.1,9.1,0 <10 ha
2010-01-01,Aran,1.0,12.1,101.4,113.5,100 > 500 ha
2010-01-01,Vallès Occidental,29.0,0.3,0.7,1.1,0 <10 ha
2010-01-01,Vallès Oriental,30.0,0.8,0.5,1.3,0 <10 ha
2011-01-01,Alt Camp,9.0,80.9,272.1,353.0,100 > 500 ha
2011-01-01,Alt Empordà,44.0,8.7,145.3,154.0,100 > 500 ha
2011-01-01,Alt Penedès,8.0,0.0,3.3,3.3,0 <10 ha
2011-01-01,Alt Urgell,6.0,0.3,1.7,2.0,0 <10 ha
2011-01-01,Alta Ribagorça,0.0,0.0,0.0,0.0,
2011-01-01,Anoia,31.0,2.1,3.2,5.3,0 <10 ha
2011-01-01,Bages,28.0,2.4,5.8,8.2,0 <10 ha
2011-01-01,Baix Camp,16.0,0.0,8.6,8.6,0 <10 ha
2011-01-01,Baix Ebre,39.0,8.4,8.6,17.0,10 > 100 ha
2011-01-01,Baix Empordà,32.0,22.3,2.9,25.2,10 > 100 ha
2011-01-01,Baix Llobregat,30.0,0.2,4.4,4.5,0 <10 ha
2011-01-01,Baix Penedès,12.0,6.9,13.1,20.0,10 > 100 ha
2011-01-01,Barcelonès,4.0,0.0,1.1,2.0,0 <10 ha
2011-01-01,Berguedà,3.0,0.0,0.1,0.1,0 <10 ha
2011-01-01,Cerdanya,4.0,0.4,1.9,2.3,0 <10 ha
2011-01-01,Conca de Barberà,22.0,1.7,6.7,8.3,0 <10 ha
2011-01-01,Garraf,9.0,1.2,0.6,1.8,0 <10 ha
2011-01-01,Garrigues,7.0,0.7,1.9,2.6,0 <10 ha
2011-01-01,Garrotxa,4.0,0.1,1.0,0.6,0 <10 ha
2011-01-01,Gironès,15.0,4.0,5.0,9.0,0 <10 ha
2011-01-01,Maresme,19.0,1.2,1.5,2.6,0 <10 ha
2011-01-01,Montsià,11.0,1.3,30.5,31.8,10 > 100 ha
2011-01-01,Noguera,15.0,3.2,30.2,33.4,10 > 100 ha
2011-01-01,Osona,9.0,0.5,0.9,1.3,0 <10 ha
2011-01-01,Pallars Jussà,10.0,8.0,20.2,28.2,10 > 100 ha
2011-01-01,Pallars Sobirà,9.0,17.4,249.2,266.5,100 > 500 ha
2011-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,
2011-01-01,Pla de l'Estany,2.0,0.0,0.0,0.0,
2011-01-01,Priorat,11.0,6.9,0.9,7.8,0 <10 ha
2011-01-01,Ribera d'Ebre,10.0,0.7,1.6,2.3,0 <10 ha
2011-01-01,Ripollès,4.0,6.1,0.0,6.1,0 <10 ha
2011-01-01,Segarra,2.0,1.1,0.5,1.6,0 <10 ha
2011-01-01,Segrià,44.0,5.8,25.7,31.4,10 > 100 ha
2011-01-01,Selva,18.0,1.0,0.2,1.1,0 <10 ha
2011-01-01,Solsonès,4.0,0.1,2.5,2.6,0 <10 ha
2011-01-01,Tarragonès,5.0,0.1,0.2,0.3,0 <10 ha
2011-01-01,Terra Alta,16.0,16.7,6.4,23.2,10 > 100 ha
2011-01-01,Urgell,16.0,0.7,8.7,9.4,0 <10 ha
2011-01-01,Aran,1.0,0.7,9.8,10.5,10 > 100 ha
2011-01-01,Vallès Occidental,32.0,2.3,5.1,7.4,0 <10 ha
2011-01-01,Vallès Oriental,25.0,0.4,0.8,1.2,0 <10 ha
2012-01-01,Alt Camp,5.0,17.0,2.0,19.0,10 > 100 ha
2012-01-01,Alt Empordà,30.0,5624.2,3164.7,8788.9,>1000 ha
2012-01-01,Alt Penedès,38.0,129.4,115.1,244.4,100 > 500 ha
2012-01-01,Alt Urgell,16.0,166.1,57.4,223.5,100 > 500 ha
2012-01-01,Alta Ribagorça,8.0,94.0,100.0,194.0,100 > 500 ha
2012-01-01,Anoia,25.0,68.2,45.3,113.5,100 > 500 ha
2012-01-01,Bages,30.0,219.2,54.1,273.3,100 > 500 ha
2012-01-01,Baix Camp,14.0,5.2,59.0,64.2,10 > 100 ha
2012-01-01,Baix Ebre,25.0,44.3,1475.5,1519.8,>1000 ha
2012-01-01,Baix Empordà,23.0,168.1,25.7,193.8,100 > 500 ha
2012-01-01,Baix Llobregat,53.0,1.9,7.0,9.0,0 <10 ha
2012-01-01,Baix Penedès,13.0,0.8,3.8,4.6,0 <10 ha
2012-01-01,Barcelonès,12.0,3.5,12.3,15.8,10 > 100 ha
2012-01-01,Berguedà,12.0,0.3,1.2,1.5,0 <10 ha
2012-01-01,Cerdanya,12.0,31.0,227.2,258.3,100 > 500 ha
2012-01-01,Conca de Barberà,19.0,28.5,13.9,42.4,10 > 100 ha
2012-01-01,Garraf,14.0,190.7,176.9,367.6,100 > 500 ha
2012-01-01,Garrigues,11.0,1.9,12.1,14.0,10 > 100 ha
2012-01-01,Garrotxa,9.0,0.2,2.0,1.8,0 <10 ha
2012-01-01,Gironès,20.0,321.2,28.3,349.5,100 > 500 ha
2012-01-01,Maresme,33.0,2.0,3.6,5.6,0 <10 ha
2012-01-01,Montsià,8.0,0.7,12.3,13.0,10 > 100 ha
2012-01-01,Noguera,21.0,25.3,49.5,74.8,10 > 100 ha
2012-01-01,Osona,22.0,72.8,16.5,89.2,10 > 100 ha
2012-01-01,Pallars Jussà,33.0,30.0,117.9,147.9,100 > 500 ha
2012-01-01,Pallars Sobirà,6.0,197.1,168.0,365.1,100 > 500 ha
2012-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,
2012-01-01,Pla de l'Estany,4.0,0.0,0.1,0.1,0 <10 ha
2012-01-01,Priorat,26.0,32.6,87.6,120.2,100 > 500 ha
2012-01-01,Ribera d'Ebre,8.0,202.1,1032.2,1234.3,>1000 ha
2012-01-01,Ripollès,6.0,0.1,0.6,0.7,0 <10 ha
2012-01-01,Segarra,9.0,19.1,15.3,34.4,10 > 100 ha
2012-01-01,Segrià,35.0,8.7,14.6,23.2,10 > 100 ha
2012-01-01,Selva,25.0,10.1,2.1,12.2,10 > 100 ha
2012-01-01,Solsonès,8.0,4.5,0.1,4.6,0 <10 ha
2012-01-01,Tarragonès,14.0,2.5,8.1,10.6,10 > 100 ha
2012-01-01,Terra Alta,11.0,13.6,133.0,146.6,100 > 500 ha
2012-01-01,Urgell,10.0,1.4,4.9,6.4,0 <10 ha
2012-01-01,Aran,3.0,8.4,20.4,28.8,10 > 100 ha
2012-01-01,Vallès Occidental,43.0,1.3,4.8,6.0,0 <10 ha
2012-01-01,Vallès Oriental,33.0,1.0,2.0,3.0,0 <10 ha
2013-01-01,Alt Camp,10.0,8.4,50.8,59.2,10 > 100 ha
2013-01-01,Alt Empordà,23.0,2.2,6.6,8.8,0 <10 ha
2013-01-01,Alt Penedès,33.0,0.7,9.4,10.1,10 > 100 ha
2013-01-01,Alt Urgell,3.0,0.0,0.2,0.2,0 <10 ha
2013-01-01,Alta Ribagorça,3.0,0.0,0.1,0.1,0 <10 ha
2013-01-01,Anoia,47.0,4.5,2.9,7.3,0 <10 ha
2013-01-01,Bages,33.0,16.8,3.5,20.3,10 > 100 ha
2013-01-01,Baix Camp,8.0,0.1,2.4,2.5,0 <10 ha
2013-01-01,Baix Ebre,20.0,2.1,3.8,5.9,0 <10 ha
2013-01-01,Baix Empordà,22.0,433.3,90.7,523.9,500 > 1000 ha
2013-01-01,Baix Llobregat,43.0,58.2,24.2,82.5,10 > 100 ha
2013-01-01,Baix Penedès,9.0,0.2,0.7,0.9,0 <10 ha
2013-01-01,Barcelonès,8.0,1.1,4.4,5.5,0 <10 ha
2013-01-01,Berguedà,9.0,0.1,0.8,0.9,0 <10 ha
2013-01-01,Cerdanya,1.0,0.1,0.0,0.1,0 <10 ha
2013-01-01,Conca de Barberà,9.0,0.4,0.5,0.9,0 <10 ha
2013-01-01,Garraf,13.0,0.7,0.4,1.1,0 <10 ha
2013-01-01,Garrigues,6.0,0.7,0.3,0.9,0 <10 ha
2013-01-01,Garrotxa,2.0,0.2,0.1,0.3,0 <10 ha
2013-01-01,Gironès,24.0,4.0,1.6,5.6,0 <10 ha
2013-01-01,Maresme,26.0,1.3,2.1,3.4,0 <10 ha
2013-01-01,Montsià,11.0,0.0,9.5,9.5,0 <10 ha
2013-01-01,Noguera,15.0,3.3,11.4,14.6,10 > 100 ha
2013-01-01,Osona,10.0,1.0,0.2,1.2,0 <10 ha
2013-01-01,Pallars Jussà,9.0,0.3,3.0,3.3,0 <10 ha
2013-01-01,Pallars Sobirà,3.0,0.0,0.5,0.5,0 <10 ha
2013-01-01,Pla d'Urgell,1.0,0.1,0.0,0.1,0 <10 ha
2013-01-01,Pla de l'Estany,5.0,0.0,0.2,0.2,0 <10 ha
2013-01-01,Priorat,12.0,30.0,25.8,55.7,10 > 100 ha
2013-01-01,Ribera d'Ebre,27.0,101.8,60.7,162.5,100 > 500 ha
2013-01-01,Ripollès,4.0,1.3,0.0,1.3,0 <10 ha
2013-01-01,Segarra,2.0,0.0,0.2,0.2,0 <10 ha
2013-01-01,Segrià,39.0,9.9,30.6,40.5,10 > 100 ha
2013-01-01,Selva,23.0,1.7,1.6,3.2,0 <10 ha
2013-01-01,Solsonès,4.0,0.0,2.0,2.0,0 <10 ha
2013-01-01,Tarragonès,6.0,1.3,4.1,5.4,0 <10 ha
2013-01-01,Terra Alta,9.0,5.5,1.6,7.1,0 <10 ha
2013-01-01,Urgell,4.0,0.0,3.1,3.1,0 <10 ha
2013-01-01,Aran,0.0,0.0,0.0,0.0,
2013-01-01,Vallès Occidental,34.0,2.1,3.2,5.3,0 <10 ha
2013-01-01,Vallès Oriental,32.0,2.3,0.7,3.0,0 <10 ha
2014-01-01,Alt Camp,9.0,34.4,5.5,39.9,10 > 100 ha
2014-01-01,Alt Empordà,22.0,6.6,32.4,38.9,10 > 100 ha
2014-01-01,Alt Penedès,24.0,0.5,2.0,2.5,0 <10 ha
2014-01-01,Alt Urgell,6.0,0.5,4.0,4.4,0 <10 ha
2014-01-01,Alta Ribagorça,2.0,0.0,1.1,1.1,0 <10 ha
2014-01-01,Anoia,24.0,1.7,0.8,2.5,0 <10 ha
2014-01-01,Bages,37.0,2.7,1.9,4.6,0 <10 ha
2014-01-01,Baix Camp,9.0,0.9,0.6,1.5,0 <10 ha
2014-01-01,Baix Ebre,18.0,5.3,19.6,24.9,10 > 100 ha
2014-01-01,Baix Empordà,14.0,372.6,4.8,377.4,100 > 500 ha
2014-01-01,Baix Llobregat,24.0,1.6,2.2,3.8,0 <10 ha
