subregion,forest_wood_Ha,forest_scrub_Ha,forest_other_Ha,areas_without_vegetation_Ha,rainfed_crops_Ha,irrigated_crops_Ha,urban_Ha,year
Vallès Oriental,23780,21580,2592.0,3109,5779,2419.0,14381,2014-01-01
Alt Camp,15736,10590,1177.0,1450,17662,3683.0,3472,2015-01-01
Alt Empordà,37773,42997,3190.0,4715,23959,14333.0,8736,2015-01-01
Alt Penedès,17971,8713,1960.0,2052,21996,505.0,6123,2015-01-01
Alt Urgell,81258,35007,17499.0,2664,4358,1798.0,2116,2015-01-01
Alta Ribagorça,15579,7688,17323.0,1017,579,194.0,410,2015-01-01
Anoia,34390,12592,2865.0,2320,28301,262.0,6020,2015-01-01
Aran,23652,17888,20089.0,936,44,1.0,680,2015-01-01
Bages,55373,19404,2721.0,3687,20502,758.0,6775,2015-01-01
Baix Camp,15697,21942,1967.0,3533,7851,11539.0,7201,2015-01-01
Baix Ebre,17817,24814,2895.0,5868,26546,16475.0,5525,2015-01-01
Baix Empordà,30221,6291,2872.0,2952,11945,8759.0,7220,2015-01-01
Baix Llobregat,12581,10101,643.0,2670,2729,1715.0,18141,2015-01-01
Baix Penedès,8686,6786,528.0,1397,6882,513.0,4788,2015-01-01
Barcelonès,1188,1207,81.0,105,12,41.0,11736,2015-01-01
Berguedà,71586,18906,13185.0,2200,10154,51.0,2430,2015-01-01
Cerdanya,25043,8048,15816.0,1073,2127,820.0,2079,2015-01-01
Conca de Barberà,19116,15216,1465.0,1421,25097,413.0,2292,2015-01-01
Garraf,5619,5414,130.0,929,1600,153.0,4615,2015-01-01
Garrigues,14801,14953,1239.0,1729,31371,12562.0,3135,2015-01-01
Garrotxa,28641,29489,4156.0,1293,6175,1335.0,2341,2015-01-01
Gironès,25154,10576,1068.0,1972,9142,4152.0,5536,2015-01-01
Maresme,15859,8002,1178.0,1864,655,2396.0,9796,2015-01-01
Moianès,20380,5917,1318.0,502,4200,55.0,1408,2015-01-01
Montsià,6201,15818,1241.0,7687,20408,19018.0,3417,2015-01-01
Noguera,27291,65252,4180.0,5949,43315,27993.0,4360,2015-01-01
Osona,61310,19662,7848.0,4758,24159,585.0,6519,2015-01-01
Pallars Jussà,45150,48755,15932.0,4030,15525,2784.0,2234,2015-01-01
Pallars Sobirà,59088,44137,28272.0,1810,1039,179.0,1365,2015-01-01
Pla d'Urgell,45,361,1129.0,1454,538,25019.0,2022,2015-01-01
Pla de l'Estany,10011,4713,827.0,927,7446,1088.0,1308,2015-01-01
Priorat,15545,21963,0.0,1242,7462,2393.0,1065,2015-01-01
Ribera d'Ebre,27717,24049,4746.0,2896,13849,7243.0,2100,2015-01-01
Ripollès,59084,11371,21071.0,842,1769,0.0,1653,2015-01-01
Segarra,10710,10648,2427.0,1182,44535,385.0,2383,2015-01-01
Segrià,7865,16260,4277.0,7424,27260,68285.0,8349,2015-01-01
Selva,58647,16641,1169.0,3363,6501,4356.0,8965,2015-01-01
Solsonès,58575,14611,5923.0,1675,17727,53.0,1616,2015-01-01
Tarragonès,5398,3390,384.0,2348,7652,3814.0,8754,2015-01-01
Terra Alta,26999,16393,1002.0,1177,25352,1740.0,1547,2015-01-01
Urgell,3103,4867,879.0,1594,29402,15549.0,2536,2015-01-01
Vallès Occidental,18368,13143,257.0,2614,5219,288.0,18411,2015-01-01
Vallès Oriental,23735,21698,2356.0,3140,5872,2549.0,14290,2015-01-01
Alt Camp,15736,10592,1614.0,1375,17417,3682.0,3355,2016-01-01
Alt Empordà,37781,43043,3326.0,4663,23693,14360.0,8837,2016-01-01
Alt Penedès,17971,8719,2033.0,1988,21918,567.0,6124,2016-01-01
Alt Urgell,81258,35007,17229.0,2845,4387,1854.0,2120,2016-01-01
Alta Ribagorça,15579,7687,17331.0,1019,580,194.0,400,2016-01-01
Anoia,34390,12588,2855.0,2328,28285,264.0,6040,2016-01-01
Aran,23652,17887,20085.0,935,45,0.0,686,2016-01-01
Bages,55373,19418,2528.0,3663,20728,733.0,6777,2016-01-01
Baix Camp,15697,21941,1912.0,3679,7735,11543.0,7223,2016-01-01
Baix Ebre,17817,24844,3180.0,5924,25928,16703.0,5544,2016-01-01
Baix Empordà,30054,6141,2647.0,2693,12076,8924.0,7725,2016-01-01
Baix Llobregat,12581,10106,659.0,2646,2440,1971.0,18177,2016-01-01
Baix Penedès,8686,6778,502.0,1443,6832,538.0,4801,2016-01-01
Barcelonès,1188,1185,81.0,127,12,41.0,11736,2016-01-01
Berguedà,71586,18848,13260.0,2038,10260,59.0,2461,2016-01-01
Cerdanya,25043,8053,15896.0,1054,2076,794.0,2090,2016-01-01
Conca de Barberà,19116,15215,1455.0,1437,25115,399.0,2283,2016-01-01
Garraf,5619,5425,133.0,936,1597,135.0,4615,2016-01-01
Garrigues,15226,14787,1254.0,1715,30210,13407.0,3191,2016-01-01
Garrotxa,28631,29489,4241.0,1280,6060,1398.0,2331,2016-01-01
Gironès,25144,10492,1041.0,1953,9168,4208.0,5594,2016-01-01
Maresme,15863,7991,1176.0,1869,680,2367.0,9804,2016-01-01
Moianès,20380,5890,1248.0,530,4301,51.0,1380,2016-01-01
Montsià,6201,15777,1248.0,7380,20244,19433.0,3507,2016-01-01
Noguera,27625,65388,4074.0,5927,42749,28144.0,4433,2016-01-01
Osona,61300,19570,7848.0,4740,24197,640.0,6546,2016-01-01
Pallars Jussà,45150,48653,15924.0,4046,15618,2787.0,2232,2016-01-01
Pallars Sobirà,59088,44138,28269.0,1810,1039,183.0,1363,2016-01-01
Pla d'Urgell,45,355,1113.0,1442,570,25026.0,2017,2016-01-01
Pla de l'Estany,10011,4715,770.0,946,7435,1113.0,1330,2016-01-01
Priorat,15545,21953,39.0,1241,7443,2383.0,1066,2016-01-01
Ribera d'Ebre,27717,24054,4595.0,2990,13388,7734.0,2122,2016-01-01
Ripollès,59074,11394,21097.0,842,1740,1.0,1642,2016-01-01
Segarra,10702,10626,2042.0,1195,44929,394.0,2382,2016-01-01
Segrià,7865,16260,4277.0,7413,25931,69608.0,8366,2016-01-01
Selva,58641,16513,1133.0,3367,6587,4350.0,9051,2016-01-01
Solsonès,58575,14501,5589.0,1662,18179,53.0,1621,2016-01-01
Tarragonès,5398,3867,1623.0,2338,6757,3770.0,7987,2016-01-01
Terra Alta,26999,16389,992.0,1175,24904,2167.0,1584,2016-01-01
Urgell,3103,4867,879.0,1660,29595,15266.0,2560,2016-01-01
Vallès Occidental,18341,12948,284.0,2633,5140,427.0,18527,2016-01-01
Vallès Oriental,23735,21683,2245.0,3168,5958,2542.0,14309,2016-01-01
Alt Camp,15744,10592,1612.0,1602,17151,3532.0,3538,2017-01-01
Alt Empordà,37967,43112,3268.0,4649,24044,13602.0,9061,2017-01-01
Alt Penedès,17971,8722,2023.0,1910,22000,567.0,6127,2017-01-01
Alt Urgell,81258,35007,17371.0,2873,4302,1770.0,2119,2017-01-01
Alta Ribagorça,15579,7753,17129.0,1153,583,197.0,396,2017-01-01
Anoia,34390,12507,3048.0,2173,28306,256.0,6070,2017-01-01
Aran,23650,17883,20098.0,927,44,0.0,688,2017-01-01
Bages,55373,19406,2629.0,3633,20785,701.0,6693,2017-01-01
Baix Camp,15697,22015,1987.0,3679,7523,11543.0,7286,2017-01-01
Baix Ebre,17797,24958,3469.0,6027,25591,16534.0,5564,2017-01-01
Baix Empordà,30212,5932,2761.0,2703,12034,8854.0,7764,2017-01-01
Baix Llobregat,12563,10029,763.0,2690,2311,2043.0,18181,2017-01-01
Baix Penedès,8682,6798,459.0,1534,6750,547.0,4810,2017-01-01
Barcelonès,1173,1170,81.0,205,13,41.0,11687,2017-01-01
Berguedà,71554,18803,13222.0,2001,10409,51.0,2472,2017-01-01
Cerdanya,25043,8048,15941.0,1062,2037,779.0,2096,2017-01-01
Conca de Barberà,19127,15430,1204.0,1328,25225,403.0,2303,2017-01-01
Garraf,5619,5413,129.0,956,1623,100.0,4620,2017-01-01
Garrigues,14973,14851,1252.0,2336,29565,13595.0,3218,2017-01-01
Garrotxa,28657,29539,4535.0,1272,5661,1393.0,2373,2017-01-01
Gironès,25171,10518,1051.0,1982,9063,4215.0,5600,2017-01-01
Maresme,15861,7994,1183.0,1862,670,2370.0,9810,2017-01-01
Moianès,20380,5903,1179.0,541,4344,52.0,1381,2017-01-01
Montsià,6201,15742,1204.0,7872,20373,18934.0,3464,2017-01-01
Noguera,27291,64800,4030.0,6003,43582,28151.0,4483,2017-01-01
Osona,61288,19512,7944.0,4714,24232,594.0,6557,2017-01-01
Pallars Jussà,45150,48653,16266.0,4031,15346,2734.0,2230,2017-01-01
Pallars Sobirà,59088,44127,28270.0,1802,1040,183.0,1380,2017-01-01
Pla d'Urgell,45,355,595.0,1466,1037,25018.0,2052,2017-01-01
Pla de l'Estany,10011,4715,808.0,899,7388,1105.0,1394,2017-01-01
Priorat,15545,21948,39.0,1279,7409,2376.0,1074,2017-01-01
Ribera d'Ebre,27717,24054,4644.0,2945,13166,7867.0,2207,2017-01-01
Ripollès,59074,11388,21105.0,847,1742,0.0,1634,2017-01-01
Segarra,10710,10631,2015.0,1207,44922,394.0,2391,2017-01-01
Segrià,7865,16260,4269.0,7472,25356,69852.0,8646,2017-01-01
Selva,58600,16438,1076.0,3271,6690,4348.0,9219,2017-01-01
Solsonès,58575,14611,5631.0,1691,18014,44.0,1614,2017-01-01
Tarragonès,5398,3916,1552.0,2350,6691,3503.0,8330,2017-01-01
Terra Alta,26999,16364,1040.0,1205,24638,2363.0,1601,2017-01-01
Urgell,3103,4866,892.0,1632,29414,15380.0,2643,2017-01-01
Vallès Occidental,18325,12962,218.0,2690,5234,180.0,18691,2017-01-01
Vallès Oriental,23735,21627,2269.0,3191,6011,2491.0,14316,2017-01-01
Alt Camp,15713,10592,1583.0,1761,17003,3571.0,3577,2018-01-01
Alt Empordà,39055,42147,3219.0,4733,24030,13577.0,8993,2018-01-01
Alt Penedès,17935,8746,1819.0,2010,22053,579.0,6127,2018-01-01
Alt Urgell,81220,35009,17477.0,2916,4183,1814.0,2127,2018-01-01
Alta Ribagorça,15578,7655,17125.0,1155,584,203.0,386,2018-01-01
Anoia,34374,13362,2059.0,2243,28260,235.0,6098,2018-01-01
Aran,23709,17835,20150.0,929,49,0.0,688,2018-01-01
Bages,55416,19455,2328.0,3609,20987,700.0,6731,2018-01-01
Baix Camp,15693,22546,1904.0,3802,6667,11812.0,7291,2018-01-01
Baix Ebre,17798,25024,3355.0,6155,25553,16808.0,5574,2018-01-01
Baix Empordà,30145,5802,2574.0,2693,12252,8907.0,7796,2018-01-01
Baix Llobregat,12542,9998,957.0,2667,2277,1955.0,18203,2018-01-01
Baix Penedès,8686,6819,535.0,1585,6725,483.0,4812,2018-01-01
Barcelonès,1168,1388,49.0,199,13,39.0,11719,2018-01-01
Berguedà,71466,18193,12993.0,1998,11343,60.0,2472,2018-01-01
Cerdanya,25043,8048,15049.0,1067,2404,963.0,2095,2018-01-01
Conca de Barberà,19115,15323,1282.0,1371,25187,407.0,2332,2018-01-01
Garraf,5596,5441,147.0,1004,1626,77.0,4620,2018-01-01
Garrigues,14957,14661,1239.0,2560,29139,13947.0,3267,2018-01-01
Garrotxa,28683,29574,4339.0,1246,5736,1506.0,2378,2018-01-01
Gironès,25189,10268,1130.0,1974,9169,4206.0,5624,2018-01-01
Maresme,15854,7970,1267.0,1895,728,2311.0,9828,2018-01-01
Moianès,20412,5747,1198.0,541,4450,61.0,1382,2018-01-01
Montsià,6201,15625,1179.0,7885,20182,19000.0,3470,2018-01-01
Noguera,27256,64730,4003.0,6195,43123,28610.0,4490,2018-01-01
Osona,60894,19123,7881.0,4711,24714,627.0,6569,2018-01-01
Pallars Jussà,45098,48520,16450.0,4061,15295,2650.0,2235,2018-01-01
Pallars Sobirà,61622,43834,28027.0,1797,980,143.0,1389,2018-01-01
Pla d'Urgell,45,355,595.0,1511,536,25420.0,2052,2018-01-01
Pla de l'Estany,10011,4713,648.0,902,7502,1106.0,1396,2018-01-01
Priorat,15666,22001,39.0,1349,7350,2372.0,1084,2018-01-01
Ribera d'Ebre,27717,24054,4533.0,3128,13119,8033.0,2148,2018-01-01
Ripollès,59340,11462,21069.0,851,1329,2.0,1609,2018-01-01
Segarra,10709,10526,1020.0,1267,45935,409.0,2406,2018-01-01
Segrià,7865,16260,4277.0,8010,25238,69316.0,8700,2018-01-01
Selva,58609,16259,1135.0,3270,6634,4369.0,9228,2018-01-01
Solsonès,58502,14130,4804.0,1705,19311,56.0,1616,2018-01-01
Tarragonès,5357,3916,1545.0,2378,6662,3636.0,8442,2018-01-01
Terra Alta,26994,16274,1009.0,1573,24261,2581.0,1612,2018-01-01
Urgell,3093,4615,1427.0,1739,28965,15483.0,2644,2018-01-01
Vallès Occidental,18330,12920,266.0,2655,5084,250.0,18808,2018-01-01
Vallès Oriental,23735,21605,2034.0,3171,6118,2481.0,14352,2018-01-01
Alt Camp,15744,10592,1574.0,1817,16938,3527.0,3608,2019-01-01
Alt Empordà,41361,40391,3302.0,4826,23400,13430.0,9044,2019-01-01
Alt Penedès,17935,8746,1795.0,2135,22000,591.0,6067,2019-01-01
Alt Urgell,81220,35009,17452.0,2915,4212,1821.0,2117,2019-01-01
Alta Ribagorça,16310,7670,16369.0,1165,582,204.0,386,2019-01-01
Anoia,34374,13354,2108.0,2289,28162,238.0,6106,2019-01-01
Aran,23709,17835,20150.0,933,49,1.0,683,2019-01-01
Bages,55350,19186,2138.0,3620,21518,699.0,6715,2019-01-01
Baix Camp,15967,23504,198.0,3862,7020,11811.0,7353,2019-01-01
Baix Ebre,17798,25024,3355.0,6435,25140,16727.0,5788,2019-01-01
Baix Empordà,30157,5814,2702.0,2761,12255,8645.0,7835,2019-01-01
Baix Llobregat,12542,9989,956.0,2694,2243,1995.0,18180,2019-01-01
Baix Penedès,8686,6819,523.0,1590,6699,474.0,4854,2019-01-01
Barcelonès,1168,1388,49.0,202,13,39.0,11716,2019-01-01
Berguedà,71465,18107,12906.0,1999,11522,62.0,2464,2019-01-01
Cerdanya,25043,8048,15013.0,1066,2404,989.0,2106,2019-01-01
Conca de Barberà,19108,15323,1246.0,1399,25208,390.0,2343,2019-01-01
Garraf,5596,5414,134.0,998,1623,128.0,4618,2019-01-01
Garrigues,14957,14063,1239.0,3029,28675,14534.0,3273,2019-01-01
Garrotxa,28680,29557,4349.0,1203,5816,1511.0,2346,2019-01-01
Gironès,25189,10268,1130.0,2010,9156,4199.0,5608,2019-01-01
Maresme,15854,7967,1255.0,1933,722,2302.0,9820,2019-01-01
Moianès,20410,5735,1151.0,541,4508,70.0,1376,2019-01-01
Montsià,6201,15625,1179.0,8145,20004,18897.0,3491,2019-01-01
Noguera,27256,64707,3999.0,6513,42472,28946.0,4514,2019-01-01
Osona,60913,19109,7552.0,4805,25021,616.0,6503,2019-01-01
Pallars Jussà,45098,48520,16404.0,4147,15253,2652.0,2235,2019-01-01
Pallars Sobirà,61622,43834,28115.0,1806,888,138.0,1389,2019-01-01
Pla d'Urgell,45,355,504.0,1646,485,25413.0,2066,2019-01-01
Pla de l'Estany,10011,4713,647.0,911,7480,1106.0,1410,2019-01-01
Priorat,15630,21900,39.0,1802,7041,2357.0,1092,2019-01-01
Ribera d'Ebre,27717,24054,4611.0,3521,12299,8359.0,2171,2019-01-01
Ripollès,59342,11462,20968.0,914,1331,1.0,1644,2019-01-01
Segarra,10709,10526,1020.0,1291,45867,433.0,2426,2019-01-01
Segrià,7865,16260,4277.0,8542,24379,69603.0,8740,2019-01-01
Selva,58550,16220,1014.0,3368,6996,4118.0,9238,2019-01-01
Solsonès,58502,14006,4684.0,1710,19551,58.0,1613,2019-01-01
Tarragonès,5357,3916,1545.0,2345,6588,3366.0,8819,2019-01-01
Terra Alta,26994,16227,1009.0,2020,23587,2816.0,1651,2019-01-01
Urgell,3093,4615,1418.0,1887,28715,15605.0,2633,2019-01-01
Vallès Occidental,18334,12919,282.0,2607,5095,218.0,18858,2019-01-01
Vallès Oriental,23736,21534,1942.0,3185,6215,2614.0,14270,2019-01-01
Alt Camp,15764,10592,1661.0,1976,16615,3574.0,3618,2020-01-01
Alt Empordà,41740,40514,3042.0,4942,23135,13375.0,9006,2020-01-01
Alt Penedès,17935,8741,1767.0,2287,21937,543.0,6059,2020-01-01
Alt Urgell,81220,35009,17457.0,2937,4181,1814.0,2128,2020-01-01
Alta Ribagorça,16310,7610,16223.0,1326,627,204.0,386,2020-01-01
Anoia,34320,13400,2108.0,2361,28112,224.0,6106,2020-01-01
Aran,23683,17861,20149.0,934,47,1.0,685,2020-01-01
Bages,55348,18774,2073.0,3631,22002,683.0,6715,2020-01-01
Baix Camp,15983,23556,79.0,3959,6975,11811.0,7352,2020-01-01
Baix Ebre,17707,25115,3355.0,6509,24899,16873.0,5809,2020-01-01
Baix Empordà,30174,5657,2838.0,2762,12169,8754.0,7815,2020-01-01
Baix Llobregat,12542,9989,961.0,2729,2227,1967.0,18184,2020-01-01
Baix Penedès,8685,6820,504.0,1664,6597,524.0,4851,2020-01-01
Barcelonès,1167,1388,49.0,203,12,40.0,11716,2020-01-01
Berguedà,71426,17975,12840.0,2044,11720,63.0,2457,2020-01-01
Cerdanya,25043,8048,14930.0,1087,2429,1009.0,2123,2020-01-01
Conca de Barberà,19104,15327,1246.0,1462,25122,395.0,2361,2020-01-01
Garraf,5596,5414,134.0,1009,1632,109.0,4617,2020-01-01
Garrigues,14918,14102,1239.0,3205,28067,14985.0,3254,2020-01-01
Garrotxa,28668,29557,4232.0,1238,5826,1576.0,2365,2020-01-01
Gironès,25189,10258,1130.0,2056,9064,4275.0,5588,2020-01-01
Maresme,15853,7968,1255.0,1951,762,2232.0,9832,2020-01-01
Moianès,20410,5694,1106.0,545,4590,70.0,1376,2020-01-01
Montsià,6201,15625,1179.0,8173,19858,19008.0,3498,2020-01-01
Noguera,27246,64707,3989.0,6569,42287,29061.0,4548,2020-01-01
Osona,60912,18987,7479.0,4885,25132,624.0,6500,2020-01-01
Pallars Jussà,45098,48520,16422.0,4201,15192,2658.0,2218,2020-01-01
Pallars Sobirà,61622,43703,28115.0,1944,879,138.0,1391,2020-01-01
Pla d'Urgell,45,355,504.0,1662,459,25409.0,2080,2020-01-01
Pla de l'Estany,10011,4713,610.0,923,7521,1093.0,1407,2020-01-01
Priorat,15871,21896,39.0,1925,6668,2371.0,1091,2020-01-01
Ribera d'Ebre,26230,25541,4711.0,3657,12143,8267.0,2183,2020-01-01
Ripollès,59341,11459,20944.0,937,1334,2.0,1645,2020-01-01
Segarra,10705,10530,1020.0,1350,45775,451.0,2441,2020-01-01
Segrià,7575,16550,4277.0,8688,23652,70121.0,8803,2020-01-01
Selva,58525,16170,916.0,3370,6926,4346.0,9251,2020-01-01
Solsonès,58502,14006,4882.0,1739,19310,63.0,1622,2020-01-01
Tarragonès,5354,3919,1545.0,2463,6616,3164.0,8875,2020-01-01
Terra Alta,26991,16206,1002.0,2269,23027,3153.0,1656,2020-01-01
Urgell,3085,4623,1418.0,1987,28314,15886.0,2653,2020-01-01
Vallès Occidental,18388,12891,270.0,2680,5016,244.0,18824,2020-01-01
Vallès Oriental,23737,21546,1853.0,3321,6263,2532.0,14244,2020-01-01
Alt Camp,15764,10592,1661.0,1925,16612,3606.0,3640,2021-01-01
Alt Empordà,41917,40534,3144.0,4924,22766,13418.0,9051,2021-01-01
Alt Penedès,17935,8741,1770.0,2226,22171,519.0,5907,2021-01-01
Alt Urgell,81220,35009,17124.0,3385,4067,1809.0,2132,2021-01-01
Alta Ribagorça,15758,3064,21278.0,1350,641,207.0,388,2021-01-01
Anoia,34320,13400,2109.0,2296,28220,213.0,6073,2021-01-01
Aran,23683,17861,20149.0,934,45,1.0,687,2021-01-01
Bages,55348,18774,2078.0,3598,22103,662.0,6663,2021-01-01
Baix Camp,15987,23556,77.0,3934,7001,11838.0,7322,2021-01-01
Baix Ebre,17707,25115,3355.0,6502,24864,16899.0,5825,2021-01-01
Baix Empordà,30172,5655,2838.0,2768,12127,8834.0,7775,2021-01-01
Baix Llobregat,12542,9989,989.0,2675,2227,1967.0,18210,2021-01-01
Baix Penedès,8685,6820,492.0,1626,6652,516.0,4854,2021-01-01
Barcelonès,1167,1388,50.0,203,12,40.0,11715,2021-01-01
Berguedà,71426,17865,12823.0,2041,11873,60.0,2437,2021-01-01
Cerdanya,25048,8048,14948.0,1092,2399,1015.0,2119,2021-01-01
Conca de Barberà,19104,15327,1243.0,1452,25123,405.0,2363,2021-01-01
Garraf,5596,5407,134.0,915,1617,113.0,4729,2021-01-01
Garrigues,14918,14102,1239.0,3242,27566,15473.0,3230,2021-01-01
Garrotxa,28675,29549,4245.0,1240,5802,1586.0,2365,2021-01-01
Gironès,25189,10258,1130.0,2059,9218,4119.0,5587,2021-01-01
Maresme,15853,7964,1255.0,1929,764,2224.0,9864,2021-01-01
Moianès,20410,5694,1106.0,544,4621,40.0,1376,2021-01-01
Montsià,6201,15625,1179.0,8090,19582,19369.0,3496,2021-01-01
Noguera,27246,64706,3979.0,6594,41364,29963.0,4555,2021-01-01
Osona,60910,18923,7409.0,4862,25226,641.0,6548,2021-01-01
Pallars Jussà,45098,48520,16296.0,4346,15133,2670.0,2246,2021-01-01
Pallars Sobirà,61623,43703,28115.0,1941,886,138.0,1386,2021-01-01
Pla d'Urgell,45,355,617.0,1708,560,25266.0,2076,2021-01-01
Pla de l'Estany,10011,4713,504.0,932,7491,1101.0,1413,2021-01-01
Priorat,16469,21893,39.0,1951,6165,2249.0,1095,2021-01-01
Ribera d'Ebre,26230,25541,4785.0,3668,12069,8265.0,2174,2021-01-01
Ripollès,59340,11460,20937.0,945,1313,2.0,1665,2021-01-01
Segarra,10705,10530,1020.0,1332,45831,401.0,2453,2021-01-01
Segrià,7575,16550,4277.0,8765,22897,70865.0,8737,2021-01-01
Selva,58503,16127,869.0,3374,7023,4362.0,9246,2021-01-01
Solsonès,58502,13991,4867.0,1744,19323,68.0,1629,2021-01-01
Tarragonès,5354,3919,1545.0,2446,6491,3310.0,8871,2021-01-01
Terra Alta,26991,16206,1036.0,2194,23021,3171.0,1685,2021-01-01
Urgell,3085,4623,1416.0,1972,28294,15921.0,2655,2021-01-01
Vallès Occidental,18388,12891,469.0,2622,5376,135.0,18432,2021-01-01
Vallès Oriental,23740,21643,1714.0,3303,6328,2525.0,14243,2021-01-01
