Subregion,Forest area. Woods (Ha),Forest area. Scrubland (Ha),Forest area. Others (Ha),No vegetation (Ha),Cropland. Dry farming (Ha),Cropland. Irrigated (Ha),Urban and others (1) (Ha),year
Conca de Barberà,20797,13510,323,2898,24939,385,2167,2011
Garraf,3851,6729,415,956,1658,172,4678,2011
Garrigues,13487,15609,121,1376,34640,12035,2523,2011
Garrotxa,56670,2389,4348,1276,5022,1312,2413,2011
Gironès,33488,2094,103,1984,10221,4454,5256,2011
Maresme,20428,2708,1329,2099,861,2739,9586,2011
Montsià,9265,13609,2549,5416,21461,18377,3113,2011
Noguera,59396,36899,311,5555,45866,26133,4180,2011
Osona,74728,11400,4932,4649,23914,432,6297,2011
Pallars Jussà,55264,52014,3200,3654,15302,2785,2192,2011
Pallars Sobirà,63095,62116,6457,1681,986,186,1369,2011
Pla d'Urgell,32,203,770,1410,583,25508,2064,2011
Pla de l'Estany,13943,1262,641,922,7196,1031,1325,2011
Priorat,19909,15730,:,1143,9806,1998,1083,2011
Ribera d'Ebre,22462,23736,7431,8535,10663,7595,2178,2011
Ripollès,64603,4167,22164,2482,1148,3,1222,2011
Segarra,9442,13400,1733,938,44310,253,2195,2011
Segrià,9068,16733,383,7648,32070,66674,7145,2011
Selva,69560,6925,1581,3290,5157,4149,8982,2011
Solsonès,58259,18693,3233,1715,16857,26,1397,2011
Tarragonès,3985,4456,:,2719,8033,3829,8719,2011
Terra Alta,25894,17792,29,995,26935,1151,1413,2011
Urgell,3548,5221,79,1314,30145,15261,2364,2011
Val d'Aran,21881,35231,4534,907,50,3,685,2011
Vallès Occidental,23273,7514,537,3164,3990,631,19191,2011
Vallès Oriental,46468,7590,3040,3728,6896,2471,14978,2011
Alt Camp,14393,12209,:,1256,18540,4060,3311,2012
Alt Empordà,55174,24924,2284,4671,25362,14966,8321,2012
Alt Penedès,13692,13089,1761,2281,22158,412,5926,2012
Alt Urgell,91883,36841,5783,2516,3507,2097,2073,2012
Alta Ribagorça,16320,22930,1518,839,591,180,413,2012
Anoia,29483,15271,4496,2244,28891,418,5947,2012
Bages,65988,25131,4100,4250,21958,804,7729,2012
Baix Camp,19105,17343,3660,3789,7030,11601,7200,2012
Baix Ebre,15166,24825,5892,4789,27149,16640,5479,2012
Baix Empordà,29733,6488,3173,3017,11866,8919,7065,2012
Baix Llobregat,11430,10495,1881,4262,1844,1733,16936,2012
Baix Penedès,7202,8002,106,1436,7608,462,4764,2012
Barcelonès,1232,1213,120,125,13,48,11619,2012
Berguedà,69834,18697,15812,2202,9516,28,2425,2012
Cerdanya,24516,16922,7464,1058,2174,820,2052,2012
Conca de Barberà,20737,13518,729,2522,24934,401,2178,2012
Garraf,3850,6675,399,979,1703,176,4678,2012
Garrigues,13487,15555,112,1379,34425,11868,2963,2012
Garrotxa,56656,2389,4615,1343,4776,1288,2364,2012
Gironès,33488,2094,101,1938,10147,4485,5346,2012
Maresme,20426,2708,1164,2092,837,2739,9785,2012
Montsià,9243,13336,1941,5391,21367,19149,3362,2012
Noguera,59396,36869,324,5662,45691,26157,4242,2012
Osona,74916,11401,4648,4634,23873,433,6446,2012
Pallars Jussà,55264,52011,3181,3670,15279,2785,2220,2012
Pallars Sobirà,63095,62115,6415,1733,971,192,1369,2012
Pla d'Urgell,32,203,879,1339,595,25554,1968,2012
Pla de l'Estany,13943,1262,538,910,7309,1048,1309,2012
Priorat,19897,15698,:,1231,9235,2577,1031,2012
Ribera d'Ebre,22457,28284,5674,3107,13800,7272,2006,2012
Ripollès,65917,4366,21209,909,1780,14,1595,2012
Segarra,9442,13398,1722,1046,44054,255,2353,2012
Segrià,9047,16731,369,7542,31791,67117,7124,2012
Selva,69558,6677,1410,3217,5627,4210,8943,2012
Solsonès,58259,18774,3174,1555,16778,46,1595,2012
Tarragonès,3986,4456,:,2709,8114,3786,8690,2012
Terra Alta,25894,17816,23,1042,26776,1200,1460,2012
Urgell,3531,5220,82,1508,29848,15331,2410,2012
Val d'Aran,21881,35226,4533,919,43,3,685,2012
Vallès Occidental,23336,7514,52,3075,4606,527,19191,2012
Vallès Oriental,46471,7590,2940,3754,6790,2505,15120,2012
Alt Camp,15735,10591,1265,1211,17731,3960,3277,2013
Alt Empordà,40134,37898,5221,4536,24812,14538,8565,2013
Alt Penedès,17764,8923,2060,2050,21955,482,6086,2013
Alt Urgell,81256,34973,18098,2597,3609,2045,2123,2013
Alta Ribagorça,15579,8195,16959,872,584,188,413,2013
Anoia,33252,12875,3342,2119,28837,394,5931,2013
Bages,69627,21178,3804,4019,22932,824,7577,2013
Baix Camp,15604,21721,2006,3382,8242,11670,7104,2013
Baix Ebre,17853,24943,3179,4920,26956,16631,5459,2013
Baix Empordà,30503,5758,3023,2983,12123,8911,6959,2013
Baix Llobregat,12495,10003,2370,2887,1939,1715,17172,2013
Baix Penedès,8688,6751,528,1427,6959,475,4752,2013
Barcelonès,1187,1183,192,103,13,48,11643,2013
Berguedà,71028,19637,13673,2163,9558,28,2425,2013
Cerdanya,24981,8038,15490,1064,2418,936,2080,2013
Conca de Barberà,19510,14935,1600,1298,24974,419,2285,2013
Garraf,5628,5342,177,929,1654,154,4577,2013
Garrigues,14788,13870,966,1728,33320,12040,3079,2013
Garrotxa,28862,29496,3758,1302,6206,1485,2322,2013
Gironès,25141,10616,1100,1873,9249,4236,5385,2013
Maresme,15845,7254,1359,1886,839,2740,9828,2013
Montsià,6330,16978,1265,5209,21320,19317,3371,2013
Noguera,29743,62994,4079,6061,43638,27525,4301,2013
Osona,63194,19919,7462,4647,24205,456,6468,2013
Pallars Jussà,47341,48977,13907,3721,15405,2785,2274,2013
Pallars Sobirà,59827,43021,28711,1772,1000,182,1377,2013
Pla d'Urgell,45,350,1095,1508,538,25047,1987,2013
Pla de l'Estany,10131,4843,640,885,7444,1072,1307,2013
Priorat,17809,19690,,1222,7439,2475,1035,2013
Ribera d'Ebre,27701,24012,5270,3019,13268,7299,2031,2013
Ripollès,64335,7403,19703,909,1826,19,1595,2013
Segarra,10794,10923,2531,1196,44070,394,2362,2013
Segrià,7859,15643,4354,7988,28767,67514,7594,2013
Selva,58752,17010,1481,3166,5949,4301,8984,2013
Solsonès,58566,14611,6843,1598,16919,35,1608,2013
Tarragonès,5276,3304,655,2304,7981,3829,8392,2013
Terra Alta,29033,14500,852,1075,25925,1320,1506,2013
Urgell,3104,4856,873,1689,29603,15331,2474,2013
Val d'Aran,23650,17899,20084,923,44,3,688,2013
Vallès Occidental,18501,12811,1393,2650,4095,551,18299,2013
Vallès Oriental,30350,24482,3212,3253,6530,2491,14853,2013
Alt Camp,15736,10585,1250,1260,17683,3905,3351,2014
Alt Empordà,37762,42284,3358,4666,24349,14538,8746,2014
Alt Penedès,17971,8733,1972,2071,21949,501,6123,2014
Alt Urgell,81258,35006,17488,2584,4490,1752,2122,2014
Alta Ribagorça,15579,8195,16831,1001,579,194,411,2014
Anoia,34390,12262,3086,2099,28554,384,5975,2014
Aran,23650,17888,20085,936,44,1,686,2014
Bages,55452,19340,3162,3827,19915,751,6773,2014
Baix Camp,15697,21832,1967,3492,7967,11664,7111,2014
Baix Ebre,17817,24932,3182,5027,26712,16744,5526,2014
Baix Empordà,30143,6236,2484,2844,12303,9069,7181,2014
Baix Llobregat,12581,10119,500,2915,2856,1675,17934,2014
Baix Penedès,8686,6791,529,1281,7005,499,4789,2014
Barcelonès,1188,1206,169,103,13,46,11645,2014
Berguedà,71585,18974,13276,2165,10034,49,2429,2014
Cerdanya,25043,8048,15015,1063,2525,1235,2077,2014
Conca de Barberà,19116,15208,1464,1437,25078,422,2295,2014
Garraf,5621,5383,164,929,1598,150,4615,2014
Garrigues,14801,14344,1151,1726,32127,12497,3144,2014
Garrotxa,28628,29337,3717,1264,6622,1500,2362,2014
Gironès,25126,10609,722,1897,9515,4186,5545,2014
Maresme,15859,7889,1221,1864,656,2471,9790,2014
Moianès,20380,5917,1318,502,4200,55,1408,2014
Montsià,6201,15535,1336,7384,20527,19401,3406,2014
Noguera,27391,65773,4189,5985,42932,27725,4345,2014
Osona,61544,19654,7641,4778,24207,576,6441,2014
Pallars Jussà,46995,48818,14037,4037,15499,2784,2240,2014
Pallars Sobirà,59088,43917,28495,1802,1036,183,1369,2014
Pla d'Urgell,45,355,1114,1470,534,25050,2000,2014
Pla de l'Estany,10009,4711,683,918,7578,1117,1304,2014
Priorat,15545,21969,0,1251,7348,2494,1063,2014
Ribera d'Ebre,27717,24054,5170,2851,13548,7216,2044,2014
Ripollès,59068,11349,20994,852,1865,15,1647,2014
Segarra,10720,10681,2790,1174,44180,351,2374,2014
Segrià,7865,16260,4277,7463,27525,67961,8369,2014
Selva,58907,16553,1213,3359,6304,4340,8966,2014
Solsonès,58575,14601,5768,1672,17894,58,1612,2014
Tarragonès,5398,3492,425,2412,7695,3784,8534,2014
Terra Alta,26999,16409,909,1181,25720,1450,1542,2014
Urgell,3103,4862,875,1630,29412,15549,2499,2014
Vallès Occidental,18368,13081,689,2736,4473,519,18434,2014
Vallès Oriental,23780,21580,2592,3109,5779,2419,14381,2014
Alt Camp,15736,10590,1177,1450,17662,3683,3472,2015
Alt Empordà,37773,42997,3190,4715,23959,14333,8736,2015
Alt Penedès,17971,8713,1960,2052,21996,505,6123,2015
Alt Urgell,81258,35007,17499,2664,4358,1798,2116,2015
Alta Ribagorça,15579,7688,17323,1017,579,194,410,2015
Anoia,34390,12592,2865,2320,28301,262,6020,2015
Aran,23652,17888,20089,936,44,1,680,2015
Bages,55373,19404,2721,3687,20502,758,6775,2015
Baix Camp,15697,21942,1967,3533,7851,11539,7201,2015
Baix Ebre,17817,24814,2895,5868,26546,16475,5525,2015
Baix Empordà,30221,6291,2872,2952,11945,8759,7220,2015
Baix Llobregat,12581,10101,643,2670,2729,1715,18141,2015
Baix Penedès,8686,6786,528,1397,6882,513,4788,2015
Barcelonès,1188,1207,81,105,12,41,11736,2015
Berguedà,71586,18906,13185,2200,10154,51,2430,2015
Cerdanya,25043,8048,15816,1073,2127,820,2079,2015
Conca de Barberà,19116,15216,1465,1421,25097,413,2292,2015
Garraf,5619,5414,130,929,1600,153,4615,2015
Garrigues,14801,14953,1239,1729,31371,12562,3135,2015
Garrotxa,28641,29489,4156,1293,6175,1335,2341,2015
Gironès,25154,10576,1068,1972,9142,4152,5536,2015
Maresme,15859,8002,1178,1864,655,2396,9796,2015
Moianès,20380,5917,1318,502,4200,55,1408,2015
Montsià,6201,15818,1241,7687,20408,19018,3417,2015
Noguera,27291,65252,4180,5949,43315,27993,4360,2015
Osona,61310,19662,7848,4758,24159,585,6519,2015
Pallars Jussà,45150,48755,15932,4030,15525,2784,2234,2015
Pallars Sobirà,59088,44137,28272,1810,1039,179,1365,2015
Pla d'Urgell,45,361,1129,1454,538,25019,2022,2015
Pla de l'Estany,10011,4713,827,927,7446,1088,1308,2015
Priorat,15545,21963,0,1242,7462,2393,1065,2015
Ribera d'Ebre,27717,24049,4746,2896,13849,7243,2100,2015
Ripollès,59084,11371,21071,842,1769,0,1653,2015
Segarra,10710,10648,2427,1182,44535,385,2383,2015
Segrià,7865,16260,4277,7424,27260,68285,8349,2015
Selva,58647,16641,1169,3363,6501,4356,8965,2015
Solsonès,58575,14611,5923,1675,17727,53,1616,2015
Tarragonès,5398,3390,384,2348,7652,3814,8754,2015
Terra Alta,26999,16393,1002,1177,25352,1740,1547,2015
Urgell,3103,4867,879,1594,29402,15549,2536,2015
Vallès Occidental,18368,13143,257,2614,5219,288,18411,2015
Vallès Oriental,23735,21698,2356,3140,5872,2549,14290,2015
Alt Camp,15736,10592,1614,1375,17417,3682,3355,2016
Alt Empordà,37781,43043,3326,4663,23693,14360,8837,2016
Alt Penedès,17971,8719,2033,1988,21918,567,6124,2016
Alt Urgell,81258,35007,17229,2845,4387,1854,2120,2016
Alta Ribagorça,15579,7687,17331,1019,580,194,400,2016
Anoia,34390,12588,2855,2328,28285,264,6040,2016
Aran,23652,17887,20085,935,45,0,686,2016
Bages,55373,19418,2528,3663,20728,733,6777,2016
Baix Camp,15697,21941,1912,3679,7735,11543,7223,2016
Baix Ebre,17817,24844,3180,5924,25928,16703,5544,2016
Baix Empordà,30054,6141,2647,2693,12076,8924,7725,2016
Baix Llobregat,12581,10106,659,2646,2440,1971,18177,2016
Baix Penedès,8686,6778,502,1443,6832,538,4801,2016
Barcelonès,1188,1185,81,127,12,41,11736,2016
Berguedà,71586,18848,13260,2038,10260,59,2461,2016
Cerdanya,25043,8053,15896,1054,2076,794,2090,2016
Conca de Barberà,19116,15215,1455,1437,25115,399,2283,2016
Garraf,5619,5425,133,936,1597,135,4615,2016
Garrigues,15226,14787,1254,1715,30210,13407,3191,2016
Garrotxa,28631,29489,4241,1280,6060,1398,2331,2016
Gironès,25144,10492,1041,1953,9168,4208,5594,2016
Maresme,15863,7991,1176,1869,680,2367,9804,2016
Moianès,20380,5890,1248,530,4301,51,1380,2016
Montsià,6201,15777,1248,7380,20244,19433,3507,2016
Noguera,27625,65388,4074,5927,42749,28144,4433,2016
Osona,61300,19570,7848,4740,24197,640,6546,2016
Pallars Jussà,45150,48653,15924,4046,15618,2787,2232,2016
Pallars Sobirà,59088,44138,28269,1810,1039,183,1363,2016
Pla d'Urgell,45,355,1113,1442,570,25026,2017,2016
Pla de l'Estany,10011,4715,770,946,7435,1113,1330,2016
Priorat,15545,21953,39,1241,7443,2383,1066,2016
Ribera d'Ebre,27717,24054,4595,2990,13388,7734,2122,2016
Ripollès,59074,11394,21097,842,1740,1,1642,2016
Segarra,10702,10626,2042,1195,44929,394,2382,2016
Segrià,7865,16260,4277,7413,25931,69608,8366,2016
Selva,58641,16513,1133,3367,6587,4350,9051,2016
Solsonès,58575,14501,5589,1662,18179,53,1621,2016
Tarragonès,5398,3867,1623,2338,6757,3770,7987,2016
Terra Alta,26999,16389,992,1175,24904,2167,1584,2016
Urgell,3103,4867,879,1660,29595,15266,2560,2016
Vallès Occidental,18341,12948,284,2633,5140,427,18527,2016
Vallès Oriental,23735,21683,2245,3168,5958,2542,14309,2016
Alt Camp,15744,10592,1612,1602,17151,3532,3538,2017
Alt Empordà,37967,43112,3268,4649,24044,13602,9061,2017
Alt Penedès,17971,8722,2023,1910,22000,567,6127,2017
Alt Urgell,81258,35007,17371,2873,4302,1770,2119,2017
Alta Ribagorça,15579,7753,17129,1153,583,197,396,2017
Anoia,34390,12507,3048,2173,28306,256,6070,2017
Aran,23650,17883,20098,927,44,0,688,2017
Bages,55373,19406,2629,3633,20785,701,6693,2017
Baix Camp,15697,22015,1987,3679,7523,11543,7286,2017
Baix Ebre,17797,24958,3469,6027,25591,16534,5564,2017
Baix Empordà,30212,5932,2761,2703,12034,8854,7764,2017
Baix Llobregat,12563,10029,763,2690,2311,2043,18181,2017
Baix Penedès,8682,6798,459,1534,6750,547,4810,2017
Barcelonès,1173,1170,81,205,13,41,11687,2017
Berguedà,71554,18803,13222,2001,10409,51,2472,2017
Cerdanya,25043,8048,15941,1062,2037,779,2096,2017
Conca de Barberà,19127,15430,1204,1328,25225,403,2303,2017
Garraf,5619,5413,129,956,1623,100,4620,2017
Garrigues,14973,14851,1252,2336,29565,13595,3218,2017
Garrotxa,28657,29539,4535,1272,5661,1393,2373,2017
Gironès,25171,10518,1051,1982,9063,4215,5600,2017
Maresme,15861,7994,1183,1862,670,2370,9810,2017
Moianès,20380,5903,1179,541,4344,52,1381,2017
Montsià,6201,15742,1204,7872,20373,18934,3464,2017
Noguera,27291,64800,4030,6003,43582,28151,4483,2017
Osona,61288,19512,7944,4714,24232,594,6557,2017
Pallars Jussà,45150,48653,16266,4031,15346,2734,2230,2017
Pallars Sobirà,59088,44127,28270,1802,1040,183,1380,2017
Pla d'Urgell,45,355,595,1466,1037,25018,2052,2017
Pla de l'Estany,10011,4715,808,899,7388,1105,1394,2017
Priorat,15545,21948,39,1279,7409,2376,1074,2017
Ribera d'Ebre,27717,24054,4644,2945,13166,7867,2207,2017
Ripollès,59074,11388,21105,847,1742,0,1634,2017
Segarra,10710,10631,2015,1207,44922,394,2391,2017
Segrià,7865,16260,4269,7472,25356,69852,8646,2017
Selva,58600,16438,1076,3271,6690,4348,9219,2017
Solsonès,58575,14611,5631,1691,18014,44,1614,2017
Tarragonès,5398,3916,1552,2350,6691,3503,8330,2017
Terra Alta,26999,16364,1040,1205,24638,2363,1601,2017
Urgell,3103,4866,892,1632,29414,15380,2643,2017
Vallès Occidental,18325,12962,218,2690,5234,180,18691,2017
Vallès Oriental,23735,21627,2269,3191,6011,2491,14316,2017
Alt Camp,15713,10592,1583,1761,17003,3571,3577,2018
Alt Empordà,39055,42147,3219,4733,24030,13577,8993,2018
Alt Penedès,17935,8746,1819,2010,22053,579,6127,2018
Alt Urgell,81220,35009,17477,2916,4183,1814,2127,2018
Alta Ribagorça,15578,7655,17125,1155,584,203,386,2018
Anoia,34374,13362,2059,2243,28260,235,6098,2018
Aran,23709,17835,20150,929,49,0,688,2018
Bages,55416,19455,2328,3609,20987,700,6731,2018
Baix Camp,15693,22546,1904,3802,6667,11812,7291,2018
Baix Ebre,17798,25024,3355,6155,25553,16808,5574,2018
Baix Empordà,30145,5802,2574,2693,12252,8907,7796,2018
Baix Llobregat,12542,9998,957,2667,2277,1955,18203,2018
Baix Penedès,8686,6819,535,1585,6725,483,4812,2018
Barcelonès,1168,1388,49,199,13,39,11719,2018
Berguedà,71466,18193,12993,1998,11343,60,2472,2018
Cerdanya,25043,8048,15049,1067,2404,963,2095,2018
Conca de Barberà,19115,15323,1282,1371,25187,407,2332,2018
Garraf,5596,5441,147,1004,1626,77,4620,2018
Garrigues,14957,14661,1239,2560,29139,13947,3267,2018
Garrotxa,28683,29574,4339,1246,5736,1506,2378,2018
Gironès,25189,10268,1130,1974,9169,4206,5624,2018
Maresme,15854,7970,1267,1895,728,2311,9828,2018
Moianès,20412,5747,1198,541,4450,61,1382,2018
Montsià,6201,15625,1179,7885,20182,19000,3470,2018
Noguera,27256,64730,4003,6195,43123,28610,4490,2018
Osona,60894,19123,7881,4711,24714,627,6569,2018
Pallars Jussà,45098,48520,16450,4061,15295,2650,2235,2018
Pallars Sobirà,61622,43834,28027,1797,980,143,1389,2018
Pla d'Urgell,45,355,595,1511,536,25420,2052,2018
Pla de l'Estany,10011,4713,648,902,7502,1106,1396,2018
Priorat,15666,22001,39,1349,7350,2372,1084,2018
Ribera d'Ebre,27717,24054,4533,3128,13119,8033,2148,2018
Ripollès,59340,11462,21069,851,1329,2,1609,2018
Segarra,10709,10526,1020,1267,45935,409,2406,2018
Segrià,7865,16260,4277,8010,25238,69316,8700,2018
Selva,58609,16259,1135,3270,6634,4369,9228,2018
Solsonès,58502,14130,4804,1705,19311,56,1616,2018
Tarragonès,5357,3916,1545,2378,6662,3636,8442,2018
Terra Alta,26994,16274,1009,1573,24261,2581,1612,2018
Urgell,3093,4615,1427,1739,28965,15483,2644,2018
Vallès Occidental,18330,12920,266,2655,5084,250,18808,2018
Vallès Oriental,23735,21605,2034,3171,6118,2481,14352,2018
Alt Camp,15744,10592,1574,1817,16938,3527,3608,2019
Alt Empordà,41361,40391,3302,4826,23400,13430,9044,2019
Alt Penedès,17935,8746,1795,2135,22000,591,6067,2019
Alt Urgell,81220,35009,17452,2915,4212,1821,2117,2019
Alta Ribagorça,16310,7670,16369,1165,582,204,386,2019
Anoia,34374,13354,2108,2289,28162,238,6106,2019
Aran,23709,17835,20150,933,49,1,683,2019
Bages,55350,19186,2138,3620,21518,699,6715,2019
Baix Camp,15967,23504,198,3862,7020,11811,7353,2019
Baix Ebre,17798,25024,3355,6435,25140,16727,5788,2019
Baix Empordà,30157,5814,2702,2761,12255,8645,7835,2019
Baix Llobregat,12542,9989,956,2694,2243,1995,18180,2019
Baix Penedès,8686,6819,523,1590,6699,474,4854,2019
Barcelonès,1168,1388,49,202,13,39,11716,2019
Berguedà,71465,18107,12906,1999,11522,62,2464,2019
Cerdanya,25043,8048,15013,1066,2404,989,2106,2019
Conca de Barberà,19108,15323,1246,1399,25208,390,2343,2019
Garraf,5596,5414,134,998,1623,128,4618,2019
Garrigues,14957,14063,1239,3029,28675,14534,3273,2019
Garrotxa,28680,29557,4349,1203,5816,1511,2346,2019
Gironès,25189,10268,1130,2010,9156,4199,5608,2019
Maresme,15854,7967,1255,1933,722,2302,9820,2019
Moianès,20410,5735,1151,541,4508,70,1376,2019
Montsià,6201,15625,1179,8145,20004,18897,3491,2019
Noguera,27256,64707,3999,6513,42472,28946,4514,2019
Osona,60913,19109,7552,4805,25021,616,6503,2019
Pallars Jussà,45098,48520,16404,4147,15253,2652,2235,2019
Pallars Sobirà,61622,43834,28115,1806,888,138,1389,2019
Pla d'Urgell,45,355,504,1646,485,25413,2066,2019
Pla de l'Estany,10011,4713,647,911,7480,1106,1410,2019
Priorat,15630,21900,39,1802,7041,2357,1092,2019
Ribera d'Ebre,27717,24054,4611,3521,12299,8359,2171,2019
Ripollès,59342,11462,20968,914,1331,1,1644,2019
Segarra,10709,10526,1020,1291,45867,433,2426,2019
Segrià,7865,16260,4277,8542,24379,69603,8740,2019
Selva,58550,16220,1014,3368,6996,4118,9238,2019
Solsonès,58502,14006,4684,1710,19551,58,1613,2019
Tarragonès,5357,3916,1545,2345,6588,3366,8819,2019
Terra Alta,26994,16227,1009,2020,23587,2816,1651,2019
Urgell,3093,4615,1418,1887,28715,15605,2633,2019
Vallès Occidental,18334,12919,282,2607,5095,218,18858,2019
Vallès Oriental,23736,21534,1942,3185,6215,2614,14270,2019
Alt Camp,15764,10592,1661,1976,16615,3574,3618,2020
Alt Empordà,41740,40514,3042,4942,23135,13375,9006,2020
Alt Penedès,17935,8741,1767,2287,21937,543,6059,2020
Alt Urgell,81220,35009,17457,2937,4181,1814,2128,2020
Alta Ribagorça,16310,7610,16223,1326,627,204,386,2020
Anoia,34320,13400,2108,2361,28112,224,6106,2020
Aran,23683,17861,20149,934,47,1,685,2020
Bages,55348,18774,2073,3631,22002,683,6715,2020
Baix Camp,15983,23556,79,3959,6975,11811,7352,2020
Baix Ebre,17707,25115,3355,6509,24899,16873,5809,2020
Baix Empordà,30174,5657,2838,2762,12169,8754,7815,2020
Baix Llobregat,12542,9989,961,2729,2227,1967,18184,2020
Baix Penedès,8685,6820,504,1664,6597,524,4851,2020
Barcelonès,1167,1388,49,203,12,40,11716,2020
Berguedà,71426,17975,12840,2044,11720,63,2457,2020
Cerdanya,25043,8048,14930,1087,2429,1009,2123,2020
Conca de Barberà,19104,15327,1246,1462,25122,395,2361,2020
Garraf,5596,5414,134,1009,1632,109,4617,2020
Garrigues,14918,14102,1239,3205,28067,14985,3254,2020
Garrotxa,28668,29557,4232,1238,5826,1576,2365,2020
Gironès,25189,10258,1130,2056,9064,4275,5588,2020
Maresme,15853,7968,1255,1951,762,2232,9832,2020
Moianès,20410,5694,1106,545,4590,70,1376,2020
Montsià,6201,15625,1179,8173,19858,19008,3498,2020
Noguera,27246,64707,3989,6569,42287,29061,4548,2020
Osona,60912,18987,7479,4885,25132,624,6500,2020
Pallars Jussà,45098,48520,16422,4201,15192,2658,2218,2020
Pallars Sobirà,61622,43703,28115,1944,879,138,1391,2020
Pla d'Urgell,45,355,504,1662,459,25409,2080,2020
Pla de l'Estany,10011,4713,610,923,7521,1093,1407,2020
Priorat,15871,21896,39,1925,6668,2371,1091,2020
Ribera d'Ebre,26230,25541,4711,3657,12143,8267,2183,2020
Ripollès,59341,11459,20944,937,1334,2,1645,2020
Segarra,10705,10530,1020,1350,45775,451,2441,2020
Segrià,7575,16550,4277,8688,23652,70121,8803,2020
Selva,58525,16170,916,3370,6926,4346,9251,2020
Solsonès,58502,14006,4882,1739,19310,63,1622,2020
Tarragonès,5354,3919,1545,2463,6616,3164,8875,2020
Terra Alta,26991,16206,1002,2269,23027,3153,1656,2020
Urgell,3085,4623,1418,1987,28314,15886,2653,2020
Vallès Occidental,18388,12891,270,2680,5016,244,18824,2020
Vallès Oriental,23737,21546,1853,3321,6263,2532,14244,2020
Alt Camp,15764,10592,1661,1925,16612,3606,3640,2021
Alt Empordà,41917,40534,3144,4924,22766,13418,9051,2021
Alt Penedès,17935,8741,1770,2226,22171,519,5907,2021
Alt Urgell,81220,35009,17124,3385,4067,1809,2132,2021
Alta Ribagorça,15758,3064,21278,1350,641,207,388,2021
Anoia,34320,13400,2109,2296,28220,213,6073,2021
Aran,23683,17861,20149,934,45,1,687,2021
Bages,55348,18774,2078,3598,22103,662,6663,2021
Baix Camp,15987,23556,77,3934,7001,11838,7322,2021
Baix Ebre,17707,25115,3355,6502,24864,16899,5825,2021
Baix Empordà,30172,5655,2838,2768,12127,8834,7775,2021
Baix Llobregat,12542,9989,989,2675,2227,1967,18210,2021
Baix Penedès,8685,6820,492,1626,6652,516,4854,2021
Barcelonès,1167,1388,50,203,12,40,11715,2021
Berguedà,71426,17865,12823,2041,11873,60,2437,2021
Cerdanya,25048,8048,14948,1092,2399,1015,2119,2021
Conca de Barberà,19104,15327,1243,1452,25123,405,2363,2021
Garraf,5596,5407,134,915,1617,113,4729,2021
Garrigues,14918,14102,1239,3242,27566,15473,3230,2021
Garrotxa,28675,29549,4245,1240,5802,1586,2365,2021
Gironès,25189,10258,1130,2059,9218,4119,5587,2021
Maresme,15853,7964,1255,1929,764,2224,9864,2021
Moianès,20410,5694,1106,544,4621,40,1376,2021
Montsià,6201,15625,1179,8090,19582,19369,3496,2021
Noguera,27246,64706,3979,6594,41364,29963,4555,2021
Osona,60910,18923,7409,4862,25226,641,6548,2021
Pallars Jussà,45098,48520,16296,4346,15133,2670,2246,2021
Pallars Sobirà,61623,43703,28115,1941,886,138,1386,2021
Pla d'Urgell,45,355,617,1708,560,25266,2076,2021
Pla de l'Estany,10011,4713,504,932,7491,1101,1413,2021
Priorat,16469,21893,39,1951,6165,2249,1095,2021
Ribera d'Ebre,26230,25541,4785,3668,12069,8265,2174,2021
Ripollès,59340,11460,20937,945,1313,2,1665,2021
Segarra,10705,10530,1020,1332,45831,401,2453,2021
Segrià,7575,16550,4277,8765,22897,70865,8737,2021
Selva,58503,16127,869,3374,7023,4362,9246,2021
Solsonès,58502,13991,4867,1744,19323,68,1629,2021
Tarragonès,5354,3919,1545,2446,6491,3310,8871,2021
Terra Alta,26991,16206,1036,2194,23021,3171,1685,2021
Urgell,3085,4623,1416,1972,28294,15921,2655,2021
Vallès Occidental,18388,12891,469,2622,5376,135,18432,2021
Vallès Oriental,23740,21643,1714,3303,6328,2525,14243,2021