,Stations,Altitude (m),Annual average,Average maximums,Average minimums,Outright maximum,Outright minimum,Year
Garrotxa,Olot,422,13,21.3,7,38.6,-7.6,2007
Gironès,Girona,100,16 (1),23,9.6,38,-5.3,2007
Maresme,Vilassar de Mar,45,17,21.8,12.7,32.4,0.2,2007
Montsià,Amposta,7,17,21.8,12.8,32.6,0.7,2007
Noguera,Vallfogona de Balaguer,245,14,21.2,7.8,40.4,-8.2,2007
Osona,Gurb,517,12,20.4,5.7,38.5,-8.8,2007
Pallars Jussà,la Pobla de Segur,513,13,21,6,38.2,-9.1,2007
Pallars Sobirà,,..,..,..,..,..,..,2007
Pla d'Urgell,Castellnou de Seana,264,13,20.8,7.1,41.2,-8.6,2007
Pla de l'Estany,Banyoles,157,15,21.8,10.1,35.8,-3.9,2007
Priorat,Ulldemolins,631,13,21,7,38.7,-9.5,2007
Ribera d'Ebre,Vinebre,48,16,23.6,9.8,40.4,-9.1,2007
Ripollès,Sant Pau de Segúries,851,10,18.2,3.2,33.7,-11.5,2007
Segarra,Cervera,558,13,19.2,8.1,38.8,-6.2,2007
Segrià,Lleida - Raimat,290,14,20.6,7.4,39.2,-10.8,2007
Selva,Anglès,150,15,22.3,7.8,39.3,-7.8,2007
Solsonès,Clariana de Cardener,693,13,20.3,7,38,-6.5,2007
Tarragonès,Constantí,105,16,22.3,10.5,34.1,-5.2,2007
Terra Alta,Horta de St. Joan,511,14,20.2,8.8,38.6,-7.6,2007
Urgell,Tàrrega,420,14,20.2,9.3,39.8,-5.4,2007
Val d'Aran,Vielha e Mijaran,997,9,16.4,4,35.2,-10,2007
Vallès Occidental,Vacarisses,343,13,21.1,7,36.1,-8.9,2007
Vallès Oriental,Vilanova del Vallès,75,14,22.1,8.2,35.5,-5.9,2007
Alt Camp,Vila-rodona,290,15,20.5,10.6,34.6,0.1,2008
Alt Empordà,Roses,24,16,21,11.3,34.5,-1,2008
Alt Penedès,la Granada,238,15,20.4,9.9,34.2,-2,2008
Alt Urgell,la Seu d'Urgell,849,11,18,5.5,34.1,-7.3,2008
Alta Ribagorça,el Pont de Suert,824,10,18.5,2.8,35.4,-10.8,2008
Anoia,els Hostalets de Pierola,312,15,20.2,10.1,34.7,-1.7,2008
Bages,Sant Salvador de Guardiola,349,13,20.3,7,36.6,-7.3,2008
Baix Camp,Vinyols i els Arcs,231,16,20.3,11.6,32.8,-1.5,2008
Baix Ebre,El Perelló,179,16,20.5,11.9,35.3,-2.5,2008
Baix Empordà,la Bisbal d'Empordà,29,15,21.9,8.8,36.8,-3,2008
Baix Llobregat,Vallirana,220,15,21,11,34.7,0.3,2008
Baix Penedès,el Vendrell,60,16,21.7,10.7,35.2,-1.2,2008
Barcelonès,Barcelona-Obs. Fabra,411,15,19.1,11.5,34.6,0.8,2008
Berguedà,la Quar,860,11,16.7,6,34,-4.7,2008
Cerdanya,Das,1096,9,16.9,1,34.8,-12.1,2008
Conca de Barberà,l'Espluga de Francolí,441,14,19.6,8.6,34.7,-4,2008
Garraf,Sant Pere de Ribes,171,16,21.3,11.3,34.3,-0.7,2008
Garrigues,la Granadella,490,13,18.7,8.4,34.5,-5.7,2008
Garrotxa,Olot,422,13,20.6,6.9,38.1,-6.1,2008
Gironès,Girona,100,15,21.6,9.3,37.1,-3.7,2008
Maresme,Vilassar de Mar,45,16,20.4,12.5,31.2,1,2008
Montsià,Amposta,7,17,21.3,12.8,31.9,0.3,2008
Noguera,Vallfogona de Balaguer,245,14,20.5,8.4,36.4,-5.5,2008
Osona,Gurb,517,12,19.5,6.4,37.4,-7.4,2008
Pallars Jussà,la Pobla de Segur,513,12,19.9,6,38.7,-9.8,2008
Pallars Sobirà,,..,..,..,..,..,..,2008
Pla d'Urgell,Castellnou de Seana,264,14,20.8,8,38.2,-5.3,2008
Pla de l'Estany,Banyoles,157,15,21.2,9.8,37.7,-2.5,2008
Priorat,Ulldemolins,359,14,20.2,9.9,35.8,-3.6,2008
Ribera d'Ebre,Vinebre,48,16,22.7,10.1,38.3,-4,2008
Ripollès,Sant Pau de Segúries,851,10,16.9,3.9,32.5,-8.9,2008
Segarra,Cervera,558,13,18.4,8.2,36.2,-6.5,2008
Segrià,Lleida - Raimat,290,14,20.1,8.1,36.8,-6.6,2008
Selva,Anglès,150,14,21.1,7.6,38.2,-5.8,2008
Solsonès,Clariana de Cardener,693,12,18.2,7.2,35.1,-4.6,2008
Tarragonès,Constantí,105,16,21.1,10.4,33.8,-2.3,2008
Terra Alta,Horta de St. Joan,511,14,19.2,9,35.7,-6.2,2008
Urgell,Tàrrega,420,14,19.3,9.1,37,-6.4,2008
Val d'Aran,Vielha e Mijaran,997,9,15.9,4.3,33.8,-9.2,2008
Vallès Occidental,Vacarisses,343,13,20.2,7.5,35.7,-8,2008
Vallès Oriental,Vilanova del Vallès,75,14,20.9,8.4,36.4,-4.8,2008
Alt Camp,Vila-rodona,290,16,21.2,10.9,35.9,-2.9,2009
Alt Empordà,Roses,24,17,21.5,11.7,36.4,-4.7,2009
Alt Penedès,la Granada,238,15,21.3,10.3,36.5,-2.9,2009
Alt Urgell,la Seu d'Urgell,849,12,18.8,5.8,33.6,-9.1,2009
Alta Ribagorça,el Pont de Suert,824,10,19.5,3.3,34.6,-11.8,2009
Anoia,els Hostalets de Pierola,312,15,20.9,10.7,36.4,-4.4,2009
Bages,Sant Salvador de Guardiola,349,13,21.1,6.8,37.4,-9.9,2009
Baix Camp,Vinyols i els Arcs,231,16,21.1,11.9,35.7,-1.4,2009
Baix Ebre,el Perelló,179,16,21.3,12.3,36.7,-1.3,2009
Baix Empordà,la Bisbal d'Empordà,29,16,22.5,9.2,40.1,-7.9,2009
Baix Llobregat,Vallirana,220,16,21.8,11.9,38.5,-2.9,2009
Baix Penedès,el Vendrell,60,16,22.2,11.3,36.5,-3.2,2009
Barcelonès,Barcelona-Obs. Fabra,411,15,20.2,12,37.8,-2.2,2009
Berguedà,la Quar,860,12,18.3,7,34.9,-10.4,2009
Cerdanya,Das,1096,9,17.6,1.4,32.6,-16,2009
Conca de Barberà,l'Espluga de Francolí,441,14,20.4,9.1,36.3,-6.4,2009
Garraf,Sant Pere de Ribes-PN del Garraf,171,16,22.1,11.9,37.4,-2.8,2009
Garrigues,la Granadella,490,14,19.8,8.9,35.7,-6.7,2009
Garrotxa,Olot,422,14,21.8,7.6,38,-9.5,2009
Gironès,Girona,100,16,22.6,9.9,39.3,-7.3,2009
Maresme,Vilassar de Mar,45,17,20.9,13.1,38.2,0.5,2009
Montsià,Amposta,7,17,21.7,13.1,34.1,-0.8,2009
Noguera,Vallfogona de Balaguer,245,15,21.8,8.8,38.1,-9.4,2009
Osona,Gurb,517,13,20.6,6.7,36.1,-9.9,2009
Pallars Jussà,la Pobla de Segur,513,13,20.8,6.9,37.4,-9.9,2009
Pallars Sobirà,..,..,..,..,..,..,..,2009
Pla d'Urgell,Castellnou de Seana,264,15,21.6,8.4,37.9,-9.2,2009
Pla de l'Estany,Banyoles,157,16,22,10.4,39,-5.4,2009
Priorat,Ulldemolins,359,15,21.1,8.7,36.2,-7.7,2009
Ribera d'Ebre,Vinebre,48,17,23.7,10.4,39.5,-5.6,2009
Ripollès,Sant Pau de Segúries,851,10,17.7,4.2,33.6,-13.2,2009
Segarra,Cervera,558,13,19.2,8.3,36.9,-7.5,2009
Segrià,Lleida - Raimat,290,14,21.2,8.4,36.6,-10.3,2009
Selva,Anglès,150,15,22.2,8.3,38.6,-9.7,2009
Solsonès,Clariana de Cardener,693,13,19.3,8.2,36,-8,2009
Tarragonès,Constantí,105,16,21.6,10.8,36.2,-6.5,2009
Terra Alta,Horta de St. Joan,511,15,20.5,9.4,39.9,-5.6,2009
Urgell,Tàrrega,420,15,20.4,9.8,37.6,-7.6,2009
Val d'Aran,Vielha e Mijaran,997,10,17.5,4.8,34.3,-10,2009
Vallès Occidental,Vacarisses,343,14,21.1,8.2,36.8,-6.2,2009
Vallès Oriental,Vilanova del Vallès,75,15,21.6,8.7,37.8,-7.2,2009
Alt Camp,Vila-rodona,290,14,19.3,9.3,35.7,-3.4,2010
Alt Empordà,Roses,24,16,20.3,10.7,36,-3.3,2010
Alt Penedès,la Granada (2),238,14,19.9,9.4,36.8,-3.7,2010
Alt Urgell,la Seu d'Urgell,849,10,16.9,4.8,34.5,-9.2,2010
Alta Ribagorça,el Pont de Suert,824,9,17.2,2.7,34.6,-10.6,2010
Anoia,els Hostalets de Pierola,312,14,19.2,9.5,34.6,-3.4,2010
Bages,Sant Salvador de Guardiola,349,12,19.2,6,35.4,-8.9,2010
Baix Camp,Vinyols i els Arcs (2),231,15,19.9,11.1,38.4,-2.9,2010
Baix Ebre,El Perelló,179,15,20,11.4,38.3,-1,2010
Baix Empordà,la Bisbal d'Empordà,29,14,20.6,8.3,37.1,-6.6,2010
Baix Llobregat,Vallirana,220,15,20.5,11.2,37.2,-1.9,2010
Baix Penedès,el Vendrell,60,15,20.4,10.3,37.2,-3,2010
Barcelonès,Barcelona-Obs. Fabra,411,14,18.8,11,37.9,-3.1,2010
Berguedà,la Quar,860,10,16.3,6,32.9,-8.9,2010
Cerdanya,Das,1.096,8,15.5,0.2,32.1,-17.2,2010
Conca de Barberà,l'Espluga de Francolí,441,13,19,7.8,35.5,-6.2,2010
Garraf,Sant Pere de Ribes-PN del Garraf (2),171,15,20.7,10.9,39.6,-3,2010
Garrigues,la Granadella (2),490,13,18.5,7.8,36,-6.9,2010
Garrotxa,Olot,422,13,19.9,6.8,37.6,-9.4,2010
Gironès,Girona,100 i 72,..,..,..,..,..,2010
Maresme,Vilassar de Mar,45,16,20,12.4,32.1,-1.3,2010
Montsià,Amposta,7,16,20.5,12.2,32.3,-0.9,2010
Noguera,Vallfogona de Balaguer (2),245,14,20.7,7.6,38.8,-7.9,2010
Osona,Gurb (2),517,12,18.8,6.2,36.8,-10.2,2010
Pallars Jussà,la Pobla de Segur,513,12,19.3,5.9,38.3,-8.1,2010
Pallars Sobirà,Sort,679,11,19.5,4.7,37.6,-8,2010
Pla d'Urgell,Castellnou de Seana,264,13,20.1,7.2,35.8,-7.2,2010
Pla de l'Estany,Banyoles,157,15,20.2,9.6,38,-5.1,2010
Priorat,Falset,359,14,19.7,9.3,37.1,-5.7,2010
Ribera d'Ebre,Vinebre,48,16,22.5,9.4,39.9,-8.3,2010
Ripollès,Sant Pau de Segúries,851,10,16.4,3.7,32.7,-13.2,2010
Segarra,Cervera,558,12,17.4,6.8,36.8,-11.2,2010
Segrià,Raimat,290,13,20,7.4,36.6,-8.2,2010
Selva,Anglès,150,14,20.6,7.7,39.6,-6.9,2010
Solsonès,Clariana de Cardener,693,12,17.9,7,37,-7.5,2010
Tarragonès,Tarragona - Complex Educatiu,5,16,21.2,11.6,39.9,-2.8,2010
Terra Alta,Horta de St. Joan,511,14,19.7,8.7,38,-4.7,2010
Urgell,Tàrrega,420,13,19.1,8.6,37.9,-7,2010
Val d'Aran,Vielha e Mijaran,997,9,15.8,3.9,36.3,-12.3,2010
Vallès Occidental,Sabadell - Parc Agrari,258,14,19.6,8.6,36.8,-5.8,2010
Vallès Oriental,Caldes de Montbui,176,14,20.5,8.5,38.1,-6.3,2010
Alt Camp,Vila-rodona,287,15,20.6,10.5,33.4,-4.2,2011
Alt Empordà,Roses,24,17,21.7,11.8,34.2,-4.5,2011
Alt Penedès,la Granada,240,15,21.1,10.3,34.9,-3.9,2011
Alt Urgell,la Seu d'Urgell,849,12,19.4,6.2,36.5,-10.9,2011
Alta Ribagorça,el Pont de Suert,823,11,19.6,3.7,35.7,-13.1,2011
Anoia,els Hostalets de Pierola,316,15,21.3,10.9,35.9,-4.3,2011
Bages,Sant Salvador de Guardiola,349,14,21.7,7.3,38.1,-10.6,2011
Baix Camp,Vinyols i els Arcs,29,17,21.3,12.4,31.9,-3.4,2011
Baix Ebre,El Perelló,179,16,21.3,12.5,33,-2.3,2011
Baix Empordà,la Bisbal d'Empordà,29,15,22.1,9.4,35.7,-6.5,2011
Baix Llobregat,Vallirana,252,16,21.8,11.9,37.4,-2.2,2011
Baix Penedès,el Vendrell,59,16,22,11.5,34.1,-5,2011
Barcelonès,Barcelona - Obs. Fabra,411,15,19.9,12.3,34.1,-2.4,2011
Berguedà,la Quar,873,12,18.7,7.7,34.7,-9.5,2011
Cerdanya,Das,1097,9,18.2,1.3,34.3,-15.6,2011
Conca de Barberà,l'Espluga de Francolí,446,14,20.9,9.1,37.7,-7,2011
Garraf,Sant Pere de Ribes - PN del Garraf,161,17,22.4,12.2,36.9,-2.4,2011
Garrigues,la Granadella,505,14,20.4,8.9,36.4,-7.3,2011
Garrotxa,Olot,422,14,21.2,7.9,37.6,-7.9,2011
Gironès,Girona,72,15,22.2,8.2,36.3,-7.4,2011
Maresme,Vilassar de Mar,44,17,21.1,13.5,32,0,2011
Montsià,Amposta,3,17,21.4,13.2,31.4,-1.9,2011
Noguera,Vallfogona de Balaguer,238,15,22.2,8.8,39.3,-8.3,2011
Osona,Gurb,509,13,20.8,6.9,39,-8.8,2011
Pallars Jussà,la Pobla de Segur,513,14,21.3,7.2,39.4,-9.6,2011
Pallars Sobirà,Sort,679,12,20.3,5.7,36.8,-9.9,2011
Pla d'Urgell,Mollerussa,247,15,21.7,8.3,39.4,-9,2011
Pla de l'Estany,Banyoles,176,16,21.7,10.6,36.7,-4.7,2011
Priorat,Falset,359,15,21.3,10.8,35.4,-6.3,2011
Ribera d'Ebre,Vinebre,53,17,23.8,10.5,37.8,-9.4,2011
Ripollès,Sant Pau de Segúries,852,11,17.5,4.9,32.1,-11.6,2011
Segarra,Cervera,554,13,19.6,8.3,38.3,-8.8,2011
Segrià,Raimat,286,15,21.3,8.6,37.5,-9.7,2011
Selva,Anglès,150,15,22.1,8.7,36.7,-7.4,2011
Solsonès,Clariana de Cardener,693,14,20.4,8.6,38,-8.1,2011
Tarragonès,Tarragona - Complex Educatiu,5,17,22.2,12.9,34.1,-4,2011
Terra Alta,Horta de St. Joan,515,15,21.1,9.8,37.3,-5.7,2011
Urgell,Tàrrega,427,15,21.2,9.8,38.6,-7.3,2011
Val d'Aran,Vielha e Mijaran,1002,10,17,5.3,34.5,-11.3,2011
Vallès Occidental,Sabadell - Parc Agrari,258,15,21.1,9.6,34.8,-5.5,2011
Vallès Oriental,Caldes de Montbui,176,15,21.7,9.2,34.9,-6.7,2011
Alt Camp,Vila-rodona,287,15,20.5,9.8,34.4,-4.5,2012
Alt Empordà,Roses,24,16,21.4,11.4,36.2,-4.2,2012
Alt Penedès,la Granada,240,15,20.9,9.5,35.6,-5.4,2012
Alt Urgell,la Seu d'Urgell,849,12,19.1,5.4,38.3,-10.7,2012
Alta Ribagorça,el Pont de Suert,823,10,19.2,2.9,37.1,-11.8,2012
Anoia,els Hostalets de Pierola,316,15,21.1,10.3,36.4,-5.1,2012
Bages,Sant Salvador de Guardiola,349,13,21.5,6.5,40.3,-10.1,2012
Baix Camp,Vinyols i els Arcs,29,17,21.1,12.2,35.5,-2.1,2012
Baix Ebre,El Perelló,179,16,21,12,35,-2.8,2012
Baix Empordà,la Bisbal d'Empordà,29,15,21.7,8.4,36.9,-6.8,2012
Baix Llobregat,Vallirana,8,16,21.9,11.3,35.6,-4.6,2012
Baix Penedès,el Vendrell,59,16,21.6,10.4,33.5,-4.2,2012
Barcelonès,Barcelona - Obs. Fabra,33,18,21.3,15,35.1,0.6,2012
Berguedà,la Quar,873,12,18.6,7,38.4,-11.5,2012
Cerdanya,Das,1097,9,17.8,0.5,36.8,-16.6,2012
Conca de Barberà,l'Espluga de Francolí,446,14,20.4,8.4,38.2,-5.9,2012
Garraf,Sant Pere de Ribes - PN del Garraf,161,16,22.1,11.6,36.4,-3.8,2012
Garrigues,la Granadella,505,14,19.9,8.5,38.9,-7.6,2012
Garrotxa,Olot,422,14,21.5,6.9,38.8,-9.9,2012
Gironès,Girona,72,14,22,7.2,38,-9.6,2012
Maresme,Vilassar de Mar,45,17,21,12.7,34.2,-2.1,2012
Montsià,Amposta,3,16,21.1,12.4,34,-0.8,2012
Noguera,Vallfogona de Balaguer,238,14,21.6,7.7,38.6,-10.7,2012
Osona,Gurb,509,12,20.6,5.6,40,-11.6,2012
Pallars Jussà,la Pobla de Segur,513,13,21,6.3,40.3,-11.4,2012
Pallars Sobirà,Sort,679,12,19.9,5.2,38.5,-9.2,2012
Pla d'Urgell,Mollerussa,247,14,21.5,7.5,38.8,-8.9,2012
Pla de l'Estany,Banyoles,176,15,21.5,9.7,38,-7.7,2012
Priorat,Falset,359,15,21.1,10,39.8,-6.7,2012
Ribera d'Ebre,Vinebre,53,16,23.6,9.9,41,-7.4,2012
Ripollès,Sant Pau de Segúries,852,10,17.2,3.4,33.4,-12.5,2012
Segarra,Cervera,554,14,19.8,8.3,38.8,-9.2,2012
Segrià,Raimat,286,14,21.1,7.8,39,-10.3,2012
Selva,Anglès,150,14,22,7.5,40.2,-9.5,2012
Solsonès,Clariana de Cardener,659,12,18.8,6.8,37.8,-12.1,2012
Tarragonès,Tarragona - Complex Educatiu,5,17,21.9,12.1,32.8,-4.5,2012
Terra Alta,Horta de St. Joan,515,14,20.6,9.1,40.4,-6.2,2012
Urgell,Tàrrega,427,15,21.1,9.2,39.4,-8.2,2012
Val d'Aran,Vielha e Mijaran,1002,9,16.3,4.4,37.1,-16.5,2012
Vallès Occidental,Sabadell - Parc Agrari,258,15,21,8.9,38.3,-6.6,2012
Vallès Oriental,Caldes de Montbui,176,15,21.5,8.1,37.9,-8.9,2012
Alt Camp,Vila-rodona,287,14,20.2,9.6,33.3,-2.1,2013
Alt Empordà,Roses,24,16,20.8,11.3,35.1,-0.6,2013
Alt Penedès,la Granada,240,15,20.8,9.2,33.8,-2.5,2013
Alt Urgell,la Seu d'Urgell,849,11,18,4.8,32.8,-8.1,2013
Alta Ribagorça,el Pont de Suert,823,10,18.3,3,32.7,-9.9,2013
Anoia,els Hostalets de Pierola,316,15,21.3,10,35.4,-2.3,2013
Bages,Sant Salvador de Guardiola,349,13,20.9,6.5,35.5,-6.6,2013
Baix Camp,Vinyols i els Arcs,29,17,21.5,12.2,34,0.2,2013
Baix Ebre,El Perelló,179,16,20.7,11.8,33.5,-0.9,2013
Baix Empordà,la Bisbal d'Empordà,29,15,21.3,8.5,35.7,-5.8,2013
Baix Llobregat,el Prat de Llobregat,8,16,21.5,11.3,33.6,-0.6,2013
Baix Penedès,el Vendrell,59,16,21.4,10.5,33.4,-2.3,2013
Barcelonès,Barcelona - el Raval,33,18,21,14.8,33.9,1.2,2013
Berguedà,la Quar,873,11,17.9,6.4,32.5,-7.5,2013
Cerdanya,Das,1097,8,16.4,0.5,31.4,-13.4,2013
Conca de Barberà,l'Espluga de Francolí,446,14,19.4,8.2,34.9,-5.2,2013
Garraf,Sant Pere de Ribes - PN del Garraf,161,16,21.8,11.3,35.3,-1.2,2013
Garrigues,la Granadella,505,13,18.8,8,33.3,-4.8,2013
Garrotxa,Olot,422,13,20.7,6.7,35.6,-6.3,2013
Gironès,Girona,72,14,21.4,7.4,35.3,-6.1,2013
Maresme,Vilassar de Mar,45,16,20.4,12.7,32.1,0.3,2013
Montsià,Amposta,3,16,20.9,12.2,32.4,0.1,2013
Noguera,Vallfogona de Balaguer,238,14,20.4,7.3,35.6,-5.6,2013
Osona,Gurb,509,12,19.3,5.7,34.7,-7.6,2013
Pallars Jussà,la Pobla de Segur,513,12,19.7,5.8,35.1,-7.2,2013
Pallars Sobirà,Sort,679,11,18.6,4.7,32.7,-8.5,2013
Pla d'Urgell,Mollerussa,247,14,20.4,7.5,36.5,-5.5,2013
Pla de l'Estany,Banyoles,176,15,20.9,9.5,36.1,-5.4,2013
Priorat,Falset,359,14,20.2,9.7,35.2,-2.3,2013
Ribera d'Ebre,Vinebre,53,16,22.6,9.7,37.3,-4.3,2013
Ripollès,Sant Pau de Segúries,852,9,16,3.2,30.3,-10.1,2013
Segarra,Cervera,554,13,18.6,7.6,35.7,-5.4,2013
Segrià,Raimat,286,13,19.9,7.6,34.5,-5.6,2013
Selva,Anglès,150,14,21.5,7.4,36.7,-6.9,2013
Solsonès,Pinós,659,11,17.5,6.2,32.8,-7.3,2013
Tarragonès,Tarragona - Complex Educatiu,5,17,21.9,12.1,34.8,0.7,2013
Terra Alta,Horta de St. Joan,515,14,19.4,8.8,35.8,-4,2013
Urgell,Tàrrega,427,14,20.2,8.5,36.6,-4.1,2013
Val d'Aran,Vielha e Mijaran,1002,9,15,4.2,32.5,-8.7,2013
Vallès Occidental,Sabadell - Parc Agrari,258,14,20.6,8.8,34.7,-3.2,2013
Vallès Oriental,Caldes de Montbui,176,14,21,8.1,35.2,-5.1,2013
Alt Camp,Vila-rodona,287,15,21,10.4,33.9,-0.5,2014
Alt Empordà,Roses,24,17,21.9,12.1,35,-0.1,2014
Alt Penedès,la Granada,240,15,21.3,10.1,33.4,-0.6,2014
Alt Urgell,la Seu d'Urgell,849,12,18.9,5.7,32.8,-5.6,2014
Alta Ribagorça,el Pont de Suert,823,11,19.2,3.9,32,-7.3,2014
Anoia,els Hostalets de Pierola,316,16,22,10.7,36.4,-1.4,2014
Bages,Sant Salvador de Guardiola,349,14,21.6,7.3,36.6,-6.5,2014
Baix Camp,Vinyols i els Arcs,29,17,22,12.7,33.7,0.7,2014
Baix Ebre,El Perelló,179,16,21.2,12.7,34.5,0.8,2014
Baix Empordà,la Bisbal d'Empordà,29,16,22.1,9.4,35.3,-2.7,2014
Baix Llobregat,el Prat de Llobregat,8,17,22.1,12,33.1,-1.9,2014
Baix Penedès,el Vendrell,59,16,22,11.2,32.9,-1.6,2014
Barcelonès,Barcelona - el Raval,33,18,21.5,15.4,34,4.4,2014
Berguedà,la Quar,873,12,18.7,7.3,31.9,-4.1,2014
Cerdanya,Das,1097,9,17.2,1.4,29.9,-11,2014
Conca de Barberà,l'Espluga de Francolí,446,14,20.4,9.2,34.4,-2.5,2014
Garraf,Canyelles,148,16,21.2,10.4,32.3,-1.7,2014
Garrigues,la Granadella,505,14,20,9.1,34.4,-4.5,2014
Garrotxa,Olot,422,14,21.3,7.6,36.2,-3.6,2014
Gironès,Girona,72,15,22.3,8.4,35.2,-4.4,2014
Maresme,Vilassar de Mar,45,17,21.1,13.5,33.2,2,2014
Montsià,Amposta,3,17,21.2,13.2,32.1,0.5,2014
Noguera,Vallfogona de Balaguer,238,15,21.7,8.8,35.1,-5.5,2014
Osona,Gurb,509,13,20,7,36.1,-6.6,2014
Pallars Jussà,la Pobla de Segur,513,13,20.2,6.9,35.9,-5.8,2014
Pallars Sobirà,Sort,679,12,19.1,5.6,33.2,-5.7,2014
Pla d'Urgell,Mollerussa,247,15,21.6,8.7,35.8,-6.2,2014
Pla de l'Estany,Banyoles,176,16,21.7,10.4,35.9,-2.2,2014
Priorat,Falset,359,16,21.4,10.7,38,-3,2014
Ribera d'Ebre,Vinebre,53,17,23.8,10.8,39.1,-4.9,2014
Ripollès,Sant Pau de Segúries,852,10,17.1,4.7,30.5,-6.9,2014
Segarra,Cervera,554,14,19.6,8.8,34.4,-4.9,2014
Segrià,Raimat,286,15,21,9,34.6,-6.4,2014
Selva,Anglès,150,15,22.1,8.6,35.4,-3.7,2014
Solsonès,Pinós,659,12,18.4,7.3,33.1,-6,2014
